trip,datetime,lon,lat,gaps,dive,step_speed,step_direction,prediction
P1108_6_SV_T2,2008-11-25 21:03:15,-77.263737,-11.771312,0.0,0,,,0.29292929292929293
P1108_6_SV_T2,2008-11-25 21:03:45,-77.26638,-11.767972,0.16666666666666666,0,15.676389004728929,,0.30303030303030304
P1108_6_SV_T2,2008-11-25 21:04:15,-77.2664768571429,-11.764263857142902,0.2,0,13.763230119795532,36.29969392452347,0.31313131313131315
P1108_6_SV_T2,2008-11-25 21:04:45,-77.26684,-11.76489,0.26666666666666666,0,2.67161277524025,-148.94795743258922,0.31313131313131315
P1108_6_SV_T2,2008-11-25 21:05:15,-77.26734499999999,-11.764489999999999,0.0,0,2.359608282811123,99.38818883932052,0.31313131313131315
P1108_6_SV_T2,2008-11-25 21:05:45,-77.269553,-11.762158,0.0,0,11.798206408950064,8.195643715136839,0.32323232323232326
P1108_6_SV_T2,2008-11-25 21:06:15,-77.270847,-11.75913,0.0,0,12.178773250415984,20.125653852635992,0.3333333333333333
P1108_6_SV_T2,2008-11-25 21:06:45,-77.27351800000001,-11.757475,0.0,0,11.482505023302286,-34.9673087956769,0.3434343434343434
P1108_6_SV_T2,2008-11-25 21:07:15,-77.275813,-11.754610000000001,0.1,0,13.509464363168368,19.565247928289295,0.35353535353535354
P1108_6_SV_T2,2008-11-25 21:07:45,-77.2780786666667,-11.751515,0.3,0,14.128474467853595,2.47620008155792,0.36363636363636365
P1108_6_SV_T2,2008-11-25 21:08:15,-77.279808,-11.749217999999999,0.0,0,10.587860150024198,-0.7645502397625705,0.36363636363636365
P1108_6_SV_T2,2008-11-25 21:08:45,-77.281068,-11.745885000000001,0.0,0,13.186675150196418,16.08307606583429,0.37373737373737376
P1108_6_SV_T2,2008-11-25 21:09:15,-77.28348000000001,-11.743025,0.0,0,13.761725695000045,-19.236147481669377,0.3838383838383838
P1108_6_SV_T2,2008-11-25 21:09:45,-77.286017,-11.740138,0.0,0,14.131063016117993,-1.1614994071526894,0.3939393939393939
P1108_6_SV_T2,2008-11-25 21:10:15,-77.28952199999999,-11.737963,0.0,0,15.07501336819801,-16.925629602810545,0.40404040404040403
P1108_6_SV_T2,2008-11-25 21:10:45,-77.29262,-11.735862,0.0,0,13.690694282521495,2.3424463722755036,0.41414141414141414
P1108_6_SV_T2,2008-11-25 21:11:15,-77.295948,-11.734115,0.0,0,13.718209037022156,-6.511078363476088,0.43434343434343436
P1108_6_SV_T2,2008-11-25 21:11:45,-77.299355,-11.732053,0.0,0,14.551003145634798,3.524064852606216,0.4444444444444444
P1108_6_SV_T2,2008-11-25 21:12:15,-77.302515,-11.729592,0.0,0,14.668727196263115,6.777262917342625,0.45454545454545453
P1108_6_SV_T2,2008-11-25 21:12:45,-77.305212,-11.726472,0.0,0,15.166311991329588,11.257124008539847,0.45454545454545453
P1108_6_SV_T2,2008-11-25 21:13:15,-77.308415,-11.723519999999999,0.0,0,15.980565413674045,-6.488913608646669,0.47474747474747475
P1108_6_SV_T2,2008-11-25 21:13:45,-77.312348,-11.721282,0.0,0,16.52637997599426,-13.10430289521969,0.48484848484848486
P1108_6_SV_T2,2008-11-25 21:14:15,-77.315945,-11.719078,0.0,0,15.41591946645986,1.874420193858839,0.494949494949495
P1108_6_SV_T2,2008-11-25 21:14:45,-77.320267,-11.717883,0.0,0,16.31617165586932,-16.26905704349349,0.5050505050505051
P1108_6_SV_T2,2008-11-25 21:15:15,-77.32446,-11.717393,0.0,0,15.34164360145967,-8.962513016088792,0.5151515151515151
P1108_6_SV_T2,2008-11-25 21:15:45,-77.328623,-11.716395,0.0,0,15.57129076813086,6.951273150200791,0.5353535353535354
P1108_6_SV_T2,2008-11-25 21:16:15,-77.33276,-11.714868,0.0,0,16.062622892352685,6.897245505946444,0.5454545454545454
P1108_6_SV_T2,2008-11-25 21:16:45,-77.337127,-11.714547,0.0,0,15.910501334478084,-16.36140322905885,0.5454545454545454
P1108_6_SV_T2,2008-11-25 21:17:15,-77.34109000000001,-11.714514999999999,0.0,0,14.39857477961903,-3.8205947908701887,0.5454545454545454
P1108_6_SV_T2,2008-11-25 21:17:45,-77.34467,-11.715365,0.0,0,13.383491174173157,-14.102507599733599,0.5252525252525253
P1108_6_SV_T2,2008-11-25 21:18:15,-77.348628,-11.715368,0.0,0,14.379880411894666,13.585680077875054,0.5252525252525253
P1108_6_SV_T2,2008-11-25 21:18:45,-77.352475,-11.714735000000001,0.0,0,14.172584141204466,9.58346422926104,0.5252525252525253
P1108_6_SV_T2,2008-11-25 21:19:15,-77.356677,-11.714228,0.0,0,15.38187140191089,-2.5143691911697488,0.5252525252525253
P1108_6_SV_T2,2008-11-25 21:19:45,-77.36084,-11.714267999999999,0.0,0,15.125454437320316,-7.586979984448362,0.5252525252525253
P1108_6_SV_T2,2008-11-25 21:20:15,-77.364632,-11.71446,0.0,0,13.795235457588486,-2.3978706149446793,0.5151515151515151
P1108_6_SV_T2,2008-11-25 21:20:45,-77.36866500000001,-11.714083,0.0,0,14.719037396514556,8.413438184837787,0.5454545454545454
P1108_6_SV_T2,2008-11-25 21:21:15,-77.37208000000001,-11.714032000000001,0.0,0,12.408595453312778,-4.579481863669741,0.6767676767676768
P1108_6_SV_T2,2008-11-25 21:21:45,-77.375835,-11.714137,0.0,0,13.647978465009258,-2.5096071615492406,0.696969696969697
P1108_6_SV_T2,2008-11-25 21:22:15,-77.379538,-11.714038,0.0,0,13.458507420757249,3.199784373429736,0.7070707070707071
