trip,datetime,lon,lat,dive,prediction
P1108_6_SV_T2,2008-11-25 21:07:55,-77.2786025,-11.750863,0,0.5806451612903226
P1108_6_SV_T2,2008-11-25 21:08:00,-77.278902,-11.750565,0,0.5806451612903226
P1108_6_SV_T2,2008-11-25 21:08:05,-77.279143,-11.750119999999999,0,0.5806451612903226
P1108_6_SV_T2,2008-11-25 21:08:10,-77.279482,-11.749737,0,0.5806451612903226
P1108_6_SV_T2,2008-11-25 21:08:15,-77.279808,-11.749217999999999,0,0.5806451612903226
P1108_6_SV_T2,2008-11-25 21:08:20,-77.27996,-11.748787,0,0.5483870967741935
P1108_6_SV_T2,2008-11-25 21:08:25,-77.28015699999999,-11.74827,0,0.5806451612903226
P1108_6_SV_T2,2008-11-25 21:08:30,-77.28049,-11.747788,0,0.5806451612903226
P1108_6_SV_T2,2008-11-25 21:08:35,-77.2807,-11.747098,0,0.5806451612903226
P1108_6_SV_T2,2008-11-25 21:08:40,-77.280895,-11.746417,0,0.5483870967741935
P1108_6_SV_T2,2008-11-25 21:08:45,-77.281068,-11.745885000000001,0,0.5483870967741935
P1108_6_SV_T2,2008-11-25 21:08:50,-77.281245,-11.745211999999999,0,0.5483870967741935
P1108_6_SV_T2,2008-11-25 21:08:55,-77.28144499999999,-11.744489999999999,0,0.4838709677419355
P1108_6_SV_T2,2008-11-25 21:09:00,-77.281965,-11.743975,0,0.5161290322580645
P1108_6_SV_T2,2008-11-25 21:09:05,-77.282598,-11.743713,0,0.5161290322580645
P1108_6_SV_T2,2008-11-25 21:09:10,-77.282945,-11.743398,0,0.5483870967741935
P1108_6_SV_T2,2008-11-25 21:09:15,-77.28348000000001,-11.743025,0,0.5161290322580645
P1108_6_SV_T2,2008-11-25 21:09:20,-77.283952,-11.742532,0,0.5161290322580645
P1108_6_SV_T2,2008-11-25 21:09:25,-77.284533,-11.742127,0,0.5161290322580645
P1108_6_SV_T2,2008-11-25 21:09:30,-77.28489300000001,-11.741463000000001,0,0.5161290322580645
P1108_6_SV_T2,2008-11-25 21:09:35,-77.285225,-11.740833,0,0.5483870967741935
P1108_6_SV_T2,2008-11-25 21:09:40,-77.285645,-11.740447999999999,0,0.5161290322580645
P1108_6_SV_T2,2008-11-25 21:09:45,-77.286017,-11.740138,0,0.5161290322580645
P1108_6_SV_T2,2008-11-25 21:09:50,-77.286518,-11.73962,0,0.4838709677419355
P1108_6_SV_T2,2008-11-25 21:09:55,-77.287145,-11.739267,0,0.4838709677419355
P1108_6_SV_T2,2008-11-25 21:10:00,-77.28782700000001,-11.738995,0,0.5161290322580645
