"ID","step","angle","datetime","dive","x","y","prediction"
"P1109_15_LB_T4",0.0368666816248341,NA,2009-12-03 19:30:28,0,-77.262983,-11.772968,5.87310827716621e-05
"P1109_15_LB_T4",0.0513315148839168,-0.610092692960037,2009-12-03 19:30:33,0,-77.263037,-11.773297,1.56460307020559e-07
"P1109_15_LB_T4",0.0664770811492814,0.335478580189258,2009-12-03 19:30:38,0,-77.263365,-11.77363,1.09399688125629e-09
"P1109_15_LB_T4",0.0611917614570669,0.0868696859213668,2009-12-03 19:30:43,0,-77.263622,-11.774175,2.06026967649894e-09
"P1109_15_LB_T4",0.0681034839685186,0.058372799165469,2009-12-03 19:30:48,0,-77.2638135,-11.774695,5.10771390410853e-10
"P1109_15_LB_T4",0.070995741952119,0.105984631162104,2009-12-03 19:30:53,0,-77.263992,-11.775285,3.30581376537028e-10
"P1109_15_LB_T4",0.0642238496937896,-0.299904978640245,2009-12-03 19:30:58,0,-77.264111,-11.775916,1.53355545162155e-09
"P1109_15_LB_T4",0.0689098451558756,-1.00279469486823,2009-12-03 19:31:03,0,-77.264385,-11.77643,2.27223345416804e-08
"P1109_15_LB_T4",0.0776449824737989,-0.166389825479525,2009-12-03 19:31:08,0,-77.265015,-11.7764825,1.33370453902189e-10
"P1109_15_LB_T4",0.0885894995445089,-0.0268384305571729,2009-12-03 19:31:13,0,-77.265725,-11.776425,4.72340373997965e-11
"P1109_15_LB_T4",0.069173717674436,-0.587291773102806,2009-12-03 19:31:18,0,-77.266533,-11.776338,1.60915141567841e-09
"P1109_15_LB_T4",0.0788902205868075,-0.718597869987169,2009-12-03 19:31:23,0,-77.26702,-11.775937,1.13538651457864e-11
"P1109_15_LB_T4",0.0983611044210165,-0.258734846217699,2009-12-03 19:31:28,0,-77.2671325,-11.7752325,2.73535471191035e-15
"P1109_15_LB_T4",0.10103452771792,0.145841040988809,2009-12-03 19:31:33,0,-77.26704,-11.774348,4.20233230751367e-17
"P1109_15_LB_T4",0.125346586290706,0.0369183597787005,2009-12-03 19:31:38,0,-77.26708,-11.7734355,6.70320384875134e-17
"P1109_15_LB_T4",0.0735645750197675,-0.575716327076993,2009-12-03 19:31:43,0,-77.267172,-11.772306,1.20790407598937e-17
"P1109_15_LB_T4",0.112660934909306,-0.0585941959274001,2009-12-03 19:31:48,0,-77.266851,-11.771721,2.12664366990459e-18
"P1109_15_LB_T4",0.104901772632272,0.113023292017211,2009-12-03 19:31:53,0,-77.266307,-11.770855,1.30106867520188e-20
"P1109_15_LB_T4",0.0974872070093725,0.0645295021060424,2009-12-03 19:31:58,0,-77.265896,-11.7699975,2.06123518799019e-21
"P1109_15_LB_T4",0.100107493159183,0.168861460831835,2009-12-03 19:32:03,0,-77.265567,-11.769178,1.3237393138739e-20
"P1109_15_LB_T4",0.0921469277168605,0.172913557242703,2009-12-03 19:32:08,0,-77.2653775,-11.7682925,4.0557659829407e-20
"P1109_15_LB_T4",0.098573991382927,0.297759635620192,2009-12-03 19:32:13,0,-77.265348,-11.76746,4.34101587302715e-20
"P1109_15_LB_T4",0.098535230961524,-0.118559077109921,2009-12-03 19:32:18,0,-77.265583,-11.7665995,1.21587667124753e-20
"P1109_15_LB_T4",0.096811975535324,-0.0823388549082137,2009-12-03 19:32:23,0,-77.265713,-11.765718,4.5328038606934e-21
"P1109_15_LB_T4",0.0979886617743979,-0.00742997114244787,2009-12-03 19:32:28,0,-77.265768,-11.7648445,1.10393571027544e-20
"P1109_15_LB_T4",0.0918878200932881,0.123746293862663,2009-12-03 19:32:33,0,-77.265817,-11.76396,2.31552820148318e-20
"P1109_15_LB_T4",0.0938009098864308,-0.102093027947628,2009-12-03 19:32:38,0,-77.2659665,-11.7631425,3.2852626273391e-20
"P1109_15_LB_T4",0.0958162197325549,0.114370213936431,2009-12-03 19:32:43,0,-77.266032,-11.762297,1.57274460420055e-20
"P1109_15_LB_T4",0.0955238837963056,0.0508312328784526,2009-12-03 19:32:48,0,-77.2661985,-11.7614465,2.12584587009316e-20
"P1109_15_LB_T4",0.091040117572568,0.0513111638954127,2009-12-03 19:32:53,0,-77.266408,-11.760608,7.34284301166953e-20
"P1109_15_LB_T4",0.0893377607223842,-0.0662761603315543,2009-12-03 19:32:58,0,-77.266649,-11.75982,1.78739671647747e-18
"P1109_15_LB_T4",0.081867915523278,0.274951625905889,2009-12-03 19:33:03,0,-77.266833,-11.759033,4.42584480608763e-18
"P1109_15_LB_T4",0.0951322553781962,0.0278871306559298,2009-12-03 19:33:08,0,-77.267194,-11.758384,3.49118068066614e-17
"P1109_15_LB_T4",0.0722183703213564,0.0190044249743315,2009-12-03 19:33:13,0,-77.2676346666667,-11.7576416666667,1.97678385816899e-16
"P1109_15_LB_T4",0.0840012606801778,0.0405369092210056,2009-12-03 19:33:18,0,-77.26798,-11.7570845,3.74221980606043e-15
"P1109_15_LB_T4",0.0812629104386154,0.298352752472959,2009-12-03 19:33:23,0,-77.268408,-11.756453,1.27137900982038e-14
"P1109_15_LB_T4",0.0849202956010701,0.0701082068439257,2009-12-03 19:33:28,0,-77.268986,-11.755989,6.8191064742575e-14
"P1109_15_LB_T4",0.0840869215270116,-0.157079305843165,2009-12-03 19:33:33,0,-77.269623,-11.755547,3.33316369697942e-13
"P1109_15_LB_T4",0.0568601496218083,0.401397202484211,2009-12-03 19:33:38,0,-77.2701765,-11.7550175,8.29375522850954e-10
"P1109_15_LB_T4",0.0533712073589386,0.287255584287638,2009-12-03 19:33:43,0,-77.270663,-11.754832,2.28383888292101e-08
"P1109_15_LB_T4",0.0592741409444453,-1.09833359280251,2009-12-03 19:33:48,0,-77.271151,-11.7547925,3.55086061266317e-07
"P1109_15_LB_T4",0.0844690087064488,-0.769190201288769,2009-12-03 19:33:53,0,-77.271358,-11.754297,9.54474046255304e-12
"P1109_15_LB_T4",0.0996581117186644,-0.0277999611371123,2009-12-03 19:33:58,0,-77.2710715,-11.7535875,2.61545662092016e-13
"P1109_15_LB_T4",0.0832655769145953,0.382268243712804,2009-12-03 19:34:03,0,-77.27071,-11.75276,8.39796057821439e-13
"P1109_15_LB_T4",0.0851935695505114,-0.0969840890325495,2009-12-03 19:34:08,0,-77.2706915,-11.7520075,4.39183863018081e-13
"P1109_15_LB_T4",0.0861836180741948,0.0680596125506581,2009-12-03 19:34:13,0,-77.270597,-11.751243,5.08052249471419e-13
"P1109_15_LB_T4",0.0651774428237537,0.905097806236072,2009-12-03 19:34:18,0,-77.270555,-11.750465,1.06168477509745e-09
"P1109_15_LB_T4",0.0717466609424099,0.26818191214686,2009-12-03 19:34:23,0,-77.271005,-11.750077,3.84246792373111e-10
"P1109_15_LB_T4",0.0632470385141289,0.0509475115948316,2009-12-03 19:34:28,0,-77.2715975,-11.7497945,1.2858369907034e-09
"P1109_15_LB_T4",0.0634633408181678,-0.0453692532292517,2009-12-03 19:34:33,0,-77.272132,-11.749572,1.22620751231622e-09
"P1109_15_LB_T4",0.0668172431566084,0.0935305544983914,2009-12-03 19:34:38,0,-77.2726575,-11.749325,6.57088321305458e-10
"P1109_15_LB_T4",0.0688922392127706,-0.0510223945748707,2009-12-03 19:34:43,0,-77.273233,-11.749117,4.3449405437635e-07
