model,FP,TP
ftp,0.9830188679245283,1.0
ftp,0.9688679245283018,1.0
ftp,0.9537735849056603,1.0
ftp,0.9268867924528302,1.0
ftp,0.9037735849056604,1.0
ftp,0.8632075471698113,1.0
ftp,0.835377358490566,1.0
ftp,0.8033018867924528,1.0
ftp,0.7641509433962265,1.0
ftp,0.7188679245283018,1.0
ftp,0.6745283018867925,1.0
ftp,0.6235849056603774,1.0
ftp,0.5858490566037736,1.0
ftp,0.5509433962264151,1.0
ftp,0.5212264150943396,1.0
ftp,0.5009433962264151,1.0
ftp,0.48396226415094334,1.0
ftp,0.469811320754717,1.0
ftp,0.4547169811320755,1.0
ftp,0.4325471698113208,1.0
ftp,0.41981132075471694,1.0
ftp,0.40613207547169816,0.9893617021276596
ftp,0.3971698113207547,0.9787234042553191
ftp,0.3886792452830189,0.9787234042553191
ftp,0.3768867924528302,0.9787234042553191
ftp,0.36556603773584906,0.9787234042553191
ftp,0.35566037735849054,0.9787234042553191
ftp,0.3462264150943396,0.9787234042553191
ftp,0.3382075471698114,0.9574468085106383
ftp,0.33066037735849063,0.925531914893617
ftp,0.32169811320754715,0.8936170212765957
ftp,0.3122641509433962,0.8723404255319149
ftp,0.30283018867924527,0.8723404255319149
ftp,0.29292452830188687,0.8723404255319149
ftp,0.2886792452830189,0.8723404255319149
ftp,0.28490566037735854,0.8297872340425532
ftp,0.280188679245283,0.8297872340425532
ftp,0.2773584905660378,0.776595744680851
ftp,0.2702830188679246,0.7659574468085106
ftp,0.26650943396226423,0.7553191489361702
ftp,0.26084905660377355,0.7446808510638298
ftp,0.25801886792452833,0.7340425531914894
ftp,0.2547169811320755,0.723404255319149
ftp,0.24905660377358485,0.7127659574468085
ftp,0.24622641509433962,0.6914893617021277
ftp,0.24198113207547167,0.6914893617021277
ftp,0.24009433962264148,0.6914893617021277
ftp,0.23773584905660372,0.6595744680851063
ftp,0.2349056603773585,0.6595744680851063
ftp,0.2330188679245283,0.6595744680851063
ftp,0.23066037735849054,0.6595744680851063
ftp,0.22924528301886793,0.6595744680851063
ftp,0.22547169811320755,0.648936170212766
ftp,0.22264150943396221,0.648936170212766
ftp,0.22028301886792456,0.648936170212766
ftp,0.21698113207547176,0.648936170212766
ftp,0.214622641509434,0.648936170212766
ftp,0.21179245283018866,0.6382978723404256
ftp,0.20896226415094343,0.6276595744680851
ftp,0.20660377358490567,0.6276595744680851
ftp,0.20188679245283025,0.6170212765957447
ftp,0.1976415094339623,0.6063829787234043
ftp,0.1943396226415095,0.5851063829787234
ftp,0.1924528301886792,0.5851063829787234
ftp,0.18962264150943398,0.574468085106383
ftp,0.1877358490566038,0.574468085106383
ftp,0.18490566037735845,0.5638297872340425
ftp,0.1839622641509434,0.5638297872340425
ftp,0.1825471698113208,0.5638297872340425
ftp,0.17641509433962266,0.5531914893617021
ftp,0.17311320754716975,0.5425531914893617
ftp,0.16839622641509433,0.5319148936170213
ftp,0.16650943396226414,0.5212765957446809
ftp,0.16367924528301891,0.5212765957446809
ftp,0.1622641509433962,0.5106382978723404
ftp,0.160377358490566,0.5
ftp,0.1589622641509434,0.4787234042553192
ftp,0.1570754716981132,0.4787234042553192
ftp,0.1556603773584906,0.46808510638297873
ftp,0.15094339622641506,0.46808510638297873
ftp,0.15000000000000002,0.46808510638297873
ftp,0.14764150943396226,0.46808510638297873
ftp,0.14622641509433965,0.46808510638297873
ftp,0.1452830188679245,0.46808510638297873
ftp,0.1433962264150943,0.4574468085106383
ftp,0.1433962264150943,0.44680851063829785
ftp,0.14056603773584908,0.44680851063829785
ftp,0.1367924528301887,0.44680851063829785
ftp,0.13584905660377355,0.43617021276595747
ftp,0.13584905660377355,0.43617021276595747
ftp,0.13490566037735852,0.425531914893617
ftp,0.13301886792452833,0.425531914893617
ftp,0.12971698113207553,0.425531914893617
ftp,0.1283018867924528,0.4148936170212766
ftp,0.1268867924528302,0.39361702127659576
ftp,0.1264150943396226,0.3829787234042553
ftp,0.125,0.3829787234042553
ftp,0.12311320754716981,0.3829787234042553
ftp,0.12122641509433962,0.3829787234042553
ftp,0.11886792452830186,0.3617021276595745
ftp,0.1165094339622641,0.35106382978723405
ftp,0.11226415094339626,0.35106382978723405
ftp,0.11084905660377364,0.3404255319148936
ftp,0.10849056603773588,0.32978723404255317
ftp,0.10660377358490569,0.32978723404255317
ftp,0.10660377358490569,0.32978723404255317
ftp,0.10424528301886793,0.2978723404255319
ftp,0.10188679245283017,0.2978723404255319
ftp,0.10141509433962259,0.2978723404255319
ftp,0.10094339622641513,0.2978723404255319
ftp,0.10047169811320755,0.2872340425531915
ftp,0.09999999999999998,0.2765957446808511
ftp,0.09905660377358494,0.2765957446808511
ftp,0.09905660377358494,0.2765957446808511
ftp,0.09905660377358494,0.2765957446808511
ftp,0.09764150943396221,0.2765957446808511
ftp,0.09716981132075475,0.2765957446808511
ftp,0.09433962264150941,0.2765957446808511
ftp,0.09339622641509437,0.2765957446808511
ftp,0.0929245283018868,0.2765957446808511
ftp,0.09150943396226419,0.2765957446808511
ftp,0.09009433962264146,0.2765957446808511
ftp,0.09009433962264146,0.2765957446808511
ftp,0.08867924528301885,0.2765957446808511
ftp,0.08726415094339623,0.26595744680851063
ftp,0.08632075471698109,0.26595744680851063
ftp,0.08584905660377362,0.26595744680851063
ftp,0.08584905660377362,0.26595744680851063
ftp,0.08490566037735847,0.2553191489361702
ftp,0.0844339622641509,0.2553191489361702
ftp,0.08396226415094343,0.2553191489361702
ftp,0.08396226415094343,0.2553191489361702
ftp,0.08349056603773586,0.2553191489361702
ftp,0.08301886792452828,0.2553191489361702
ftp,0.08301886792452828,0.2553191489361702
ftp,0.08301886792452828,0.2553191489361702
ftp,0.08254716981132071,0.24468085106382978
ftp,0.08207547169811324,0.24468085106382978
ftp,0.07971698113207548,0.23404255319148937
ftp,0.07877358490566033,0.23404255319148937
ftp,0.07735849056603772,0.22340425531914893
ftp,0.07641509433962268,0.22340425531914893
ftp,0.0759433962264151,0.22340425531914893
ftp,0.07499999999999996,0.22340425531914893
ftp,0.07499999999999996,0.22340425531914893
ftp,0.07452830188679249,0.22340425531914893
ftp,0.07452830188679249,0.22340425531914893
ftp,0.07452830188679249,0.22340425531914893
ftp,0.07358490566037734,0.22340425531914893
ftp,0.07358490566037734,0.22340425531914893
ftp,0.07358490566037734,0.22340425531914893
ftp,0.07358490566037734,0.22340425531914893
ftp,0.07358490566037734,0.20212765957446807
ftp,0.07358490566037734,0.20212765957446807
ftp,0.07358490566037734,0.20212765957446807
ftp,0.07358490566037734,0.20212765957446807
ftp,0.0726415094339623,0.19148936170212766
ftp,0.0726415094339623,0.18085106382978725
ftp,0.07169811320754715,0.18085106382978725
ftp,0.07122641509433958,0.18085106382978725
ftp,0.07075471698113212,0.18085106382978725
ftp,0.06981132075471697,0.18085106382978725
ftp,0.06981132075471697,0.18085106382978725
ftp,0.06933962264150939,0.18085106382978725
ftp,0.06839622641509435,0.18085106382978725
ftp,0.06698113207547174,0.18085106382978725
ftp,0.06698113207547174,0.18085106382978725
ftp,0.06462264150943398,0.18085106382978725
ftp,0.06462264150943398,0.1702127659574468
ftp,0.06226415094339621,0.1595744680851064
ftp,0.06179245283018864,0.1595744680851064
ftp,0.061320754716981174,0.1595744680851064
ftp,0.0608490566037736,0.1595744680851064
ftp,0.060377358490566024,0.1595744680851064
ftp,0.05660377358490565,0.14893617021276595
ftp,0.05613207547169807,0.13829787234042554
ftp,0.05471698113207546,0.1276595744680851
ftp,0.05471698113207546,0.1276595744680851
ftp,0.054245283018867885,0.1276595744680851
ftp,0.053301886792452846,0.1276595744680851
ftp,0.05283018867924527,0.1276595744680851
ftp,0.052358490566037696,0.1276595744680851
ftp,0.05188679245283023,0.1276595744680851
ftp,0.05141509433962266,0.1276595744680851
ftp,0.05141509433962266,0.1276595744680851
ftp,0.05047169811320751,0.1276595744680851
ftp,0.05047169811320751,0.1276595744680851
ftp,0.050000000000000044,0.1276595744680851
ftp,0.050000000000000044,0.1276595744680851
ftp,0.04952830188679247,0.1276595744680851
ftp,0.049056603773584895,0.1276595744680851
ftp,0.04858490566037732,0.11702127659574468
ftp,0.047169811320754707,0.11702127659574468
ftp,0.04669811320754713,0.11702127659574468
ftp,0.04622641509433967,0.11702127659574468
ftp,0.04575471698113209,0.11702127659574468
ftp,0.04528301886792452,0.11702127659574468
ftp,0.04339622641509433,0.10638297872340426
ftp,0.04339622641509433,0.10638297872340426
ftp,0.04339622641509433,0.10638297872340426
ftp,0.042924528301886755,0.09574468085106383
ftp,0.042924528301886755,0.09574468085106383
ftp,0.04198113207547172,0.09574468085106383
ftp,0.04198113207547172,0.0851063829787234
ftp,0.04198113207547172,0.0851063829787234
ftp,0.04103773584905657,0.0851063829787234
ftp,0.03726415094339619,0.07446808510638298
ftp,0.0320754716981132,0.06382978723404255
ftp,0.0287735849056604,0.06382978723404255
ftp,0.02783018867924525,0.0425531914893617
ftp,0.027358490566037785,0.031914893617021274
ftp,0.02688679245283021,0.02127659574468085
ftp,0.02688679245283021,0.02127659574468085
