trip,datetime,lon,lat,gaps,dive,step_speed,step_direction,lon_std,lat_std,step_speed_std,step_direction_cos,step_direction_sin,prediction
P1108_6_SV_T2,2008-11-25 21:39:05,-77.44700999999999,-11.765198,0.0,0,11.399893194202175,-18.536235679852666,-0.7990970137770129,0.852572940256467,0.542348972997874,0.9481227919758977,-0.31790434305908544,0.1218099564345109
P1108_6_SV_T2,2008-11-25 21:39:10,-77.446653,-11.765545,0.0,0,10.964326604014243,-9.535949659153289,-0.794228556221026,0.848721279583703,0.5206536343772973,0.9861818499470013,-0.16566640828819268,0.07453092346931682
P1108_6_SV_T2,2008-11-25 21:39:15,-77.44622700000001,-11.765873,0.0,0,11.812001266453647,-6.6101157633393655,-0.7884191362803026,0.8450805167575747,0.5628758554015753,0.9933524575762245,-0.11511253201661059,0.05017271675012377
P1108_6_SV_T2,2008-11-25 21:39:20,-77.445877,-11.766285,0.0,0,11.929652454942147,12.066641678876323,-0.7836461386761544,0.8405073634515711,0.5687359981004677,0.9779051135866366,0.20904924975016634,0.05459002271171984
P1108_6_SV_T2,2008-11-25 21:39:25,-77.445575,-11.766742,0.0,0,12.11741378638158,6.848443198321888,-0.7795277236008387,0.8354347152456402,0.5780882894772494,0.992865043440162,0.11924347158048172,0.05638536486562228
P1108_6_SV_T2,2008-11-25 21:39:30,-77.445215,-11.76714,0.0,0,11.835053131250966,-8.624684809011512,-0.774618354636727,0.8310169603529689,0.5640240564433443,0.9886918647944039,-0.14996131664320703,0.05042571294902364
P1108_6_SV_T2,2008-11-25 21:39:35,-77.444812,-11.767488,0.0,0,11.711797761017191,-7.060386127154061,-0.7691225888240554,0.8271541997935284,0.5578847724526403,0.9924171578349662,-0.12291535638303247,0.07414289418950107
P1108_6_SV_T2,2008-11-25 21:39:40,-77.444537,-11.767892,0.4,0,10.808088234513963,14.906767058653884,-0.765372376420893,0.8226698455808577,0.5128714848548263,0.9663457032816437,0.2572469275795252,0.8104985554710414
P1108_6_SV_T2,2008-11-25 21:39:45,-77.4445012857143,-11.767885857142902,0.8,1,0.7902988361650023,-66.28581843482266,-0.7648853358492349,0.8227380305984411,0.013890759237120038,0.4021744045730097,-0.915563077186026,0.9443564355247875
P1108_6_SV_T2,2008-11-25 21:39:50,-77.44452199999999,-11.767747,0.0,0,3.124094011332689,-88.34408049512092,-0.765167819380657,0.8242793291472862,0.13013584721433377,0.02889722422701174,-0.9995823880161023,0.826390768981817
P1108_6_SV_T2,2008-11-25 21:39:55,-77.44449300000001,-11.767775,0.0,0,0.8877168785935826,142.91208305262236,-0.7647723424365498,0.8239685323206611,0.018743099765189127,-0.7977111210490005,0.6030397726143333,0.01336726113497023
P1108_6_SV_T2,2008-11-25 21:40:00,-77.44433000000001,-11.768107,0.0,0,8.200564041442936,19.725747178800788,-0.7625494892666839,0.8202833699478664,0.3829921010719389,0.9413189682365608,0.3375182958567678,0.0031199090887997815
P1108_6_SV_T2,2008-11-25 21:40:05,-77.444102,-11.768567,0.0,0,11.382664711529323,-0.21320155586113287,-0.7594402222559893,0.8151774220819652,0.5414908315014269,0.9999930768302899,-0.0037210605329497455,0.011656493028037377
P1108_6_SV_T2,2008-11-25 21:40:10,-77.443713,-11.769008,0.0,0,12.971719171540887,-14.927796574420086,-0.7541353763475765,0.81028237206268,0.6206407832495942,0.966251219750059,-0.25760159225347024,0.7520034143507489
P1108_6_SV_T2,2008-11-25 21:40:15,-77.443262,-11.769395,0.0,0,13.070697219382296,-7.952741870277578,-0.74798502800646,0.8059867159233115,0.6255708268119264,0.9903825232433223,-0.13835627074401108,0.8922082504618727
P1108_6_SV_T2,2008-11-25 21:40:20,-77.44290699999999,-11.769728,0.0,0,10.715406749312143,2.541108117183313,-0.7431438447222333,0.8022904536638403,0.508255069705896,0.9990166687576578,0.044336165196734716,0.6392387969643715
P1108_6_SV_T2,2008-11-25 21:40:25,-77.442537,-11.770017999999999,0.0,0,10.32997049099056,-5.094976211110804,-0.7380981043981582,0.7990714865310029,0.4890566960718511,0.9960488559811922,-0.08880696199374383,0.017902818074136736
P1108_6_SV_T2,2008-11-25 21:40:30,-77.441998,-11.770147,0.0,0,12.093118284627709,-24.943560124420742,-0.7307476880879675,0.7976396011512004,0.5768781435446158,0.9067236522988048,-0.42172528779042423,0.02536606498896741
P1108_6_SV_T2,2008-11-25 21:40:35,-77.441702,-11.770545,0.0,0,10.960146800692211,40.20456501185461,-0.7267110958287074,0.7932218462585093,0.520445440612023,0.7637445997000843,0.645518540732145,0.07093144010097638
P1108_6_SV_T2,2008-11-25 21:40:40,-77.44153299999999,-11.771002000000001,0.0,0,10.820140003478368,16.156011586062192,-0.7244064198425921,0.7881491980525783,0.5134717770134762,0.96050759601628,0.27825376546423697,0.22419464891083843
P1108_6_SV_T2,2008-11-25 21:40:45,-77.441163,-11.771377000000001,0.0,0,11.606999374370321,-24.105141883713145,-0.7193606795185169,0.7839867405531893,0.5526648209310763,0.9127975288381496,-0.40841237903247685,0.1145053291758956
P1108_6_SV_T2,2008-11-25 21:40:50,-77.440777,-11.771765,0.0,0,12.057518643242672,-0.2363374148985713,-0.7140967450180351,0.7796799845271641,0.5751049444700811,0.9999914927521563,-0.004124854338539439,0.0752369276441542
P1108_6_SV_T2,2008-11-25 21:40:55,-77.44036700000001,-11.772136999999999,0.0,0,12.183227403386612,-2.932216314333573,-0.7085055192535247,0.7755508266877847,0.581366430498472,0.998690751871613,-0.05115449272656503,0.05254574103941551
P1108_6_SV_T2,2008-11-25 21:41:00,-77.43993,-11.772523,0.0,0,12.827812643159632,-0.7655672475342499,-0.7025460908164732,0.7712662704350731,0.613472876129822,0.9999107342273266,-0.013361271532631116,0.05978422776291125
P1108_6_SV_T2,2008-11-25 21:41:05,-77.43951700000001,-11.772910000000001,0.0,0,12.459772372397833,1.6875734476373339,-0.6969139536438381,0.766970614295685,0.595140987320947,0.9995662707514954,0.029449454595087778,0.04657809742529652
P1108_6_SV_T2,2008-11-25 21:41:10,-77.439048,-11.773275,0.0,0,13.0578190927614,-5.262841856367686,-0.6905181368543609,0.7629191556629619,0.6249293742209037,0.9957843940598556,-0.09172480878609786,0.05723166645762806
P1108_6_SV_T2,2008-11-25 21:41:15,-77.4386,-11.77365,0.0,0,12.846290420301699,2.047998455304622,-0.6844086999211753,0.7587566981635728,0.61439324431481,0.9993612399465139,0.035736705116255325,0.169617619666486
P1108_6_SV_T2,2008-11-25 21:41:20,-77.43840300000001,-11.774118,1.0,1,11.268790524422451,27.072378011429038,-0.6817221841271234,0.753561951204339,0.535818819218849,0.8904323169141294,0.45511568748499037,0.9317790567819342
P1108_6_SV_T2,2008-11-25 21:41:25,-77.438153,-11.774593,0.4,1,11.89579322998813,-4.863630989116075,-0.6783129001241605,0.7482895050384488,0.5670494882364059,0.9963993146235474,-0.08478446684225344,0.9472372881380043
P1108_6_SV_T2,2008-11-25 21:41:30,-77.438037,-11.774875,0.0,0,6.7679229756336055,5.325150152217674,-0.6767309923467624,0.7451593369989046,0.3116330167329249,0.9956840559148086,0.09280765484073113,0.3397787724001063
P1108_6_SV_T2,2008-11-25 21:41:35,-77.438448,-11.774132,0.0,0,18.810609450425275,173.49760429526782,-0.6823358552474436,0.7534065527910264,0.9114727814387434,-0.9935671214493736,0.1132447578248351,0.0038957551202333253
P1108_6_SV_T2,2008-11-25 21:41:40,-77.43823,-11.774353,0.0,0,6.839547487249339,164.43719547367502,-0.6793629595971001,0.7509534778380554,0.3152005953030955,-0.9633369421338266,0.26829449476321426,0.0029323783819312815
P1108_6_SV_T2,2008-11-25 21:41:45,-77.43786,-11.774693,0.0,0,11.059748417326666,-2.8124822198896027,-0.6743172192728312,0.7471795163719477,0.525406543802029,0.998795471431877,-0.04906736437974365,0.06365404763029803
P1108_6_SV_T2,2008-11-25 21:41:50,-77.437477,-11.775108,0.0,0,12.451174457754652,4.715048359846719,-0.669094196180474,0.7425730634059543,0.5947127297965714,0.9966158318328221,0.0822002660590106,0.8813390127711441
