model,trip,real,p
ftp,P1108_46_SV_T2,0,0.5274849885646433
ftp,P1108_46_SV_T2,0,0.533743162157036
ftp,P1108_46_SV_T2,0,0.5425179343907308
ftp,P1108_46_SV_T2,0,0.5474868521931776
ftp,P1108_46_SV_T2,0,0.5431493981129291
ftp,P1108_46_SV_T2,0,0.5418863340200664
ftp,P1108_46_SV_T2,0,0.542202151161436
ftp,P1108_46_SV_T2,0,0.534455482366428
ftp,P1108_46_SV_T2,0,0.5290702313424492
ftp,P1108_46_SV_T2,0,0.5258198875178284
ftp,P1108_46_SV_T2,0,0.5262163936296563
ftp,P1108_46_SV_T2,0,0.5282776812432285
ftp,P1108_46_SV_T2,0,0.5297834012456245
ftp,P1108_46_SV_T2,0,0.5313677836935586
ftp,P1108_46_SV_T2,0,0.5317637817662106
ftp,P1108_46_SV_T2,0,0.5317637817662106
ftp,P1108_46_SV_T2,0,0.5319221698214066
ftp,P1108_46_SV_T2,0,0.5317637817662106
ftp,P1108_46_SV_T2,0,0.5325556574001561
ftp,P1108_46_SV_T2,0,0.5341389127815308
ftp,P1108_46_SV_T2,0,0.5341389127815308
ftp,P1108_46_SV_T2,0,0.5348511552897677
ftp,P1108_46_SV_T2,0,0.5347720241979459
ftp,P1108_46_SV_T2,0,0.533030704324122
ftp,P1108_46_SV_T2,0,0.5325556574001561
ftp,P1108_46_SV_T2,0,0.5313677836935586
ftp,P1108_46_SV_T2,0,0.5316053873101176
ftp,P1108_46_SV_T2,0,0.53215973983327
ftp,P1108_46_SV_T2,0,0.5318429765958995
ftp,P1108_46_SV_T2,0,0.5309717461100957
ftp,P1108_46_SV_T2,0,0.5293079679757381
ftp,P1108_46_SV_T2,0,0.5296249294514525
ftp,P1108_46_SV_T2,0,0.5304172280575654
ftp,P1108_46_SV_T2,0,0.5314469864847898
ftp,P1108_46_SV_T2,0,0.5312093733737563
ftp,P1108_46_SV_T2,0,0.5306548879281616
ftp,P1108_46_SV_T2,0,0.5297041660971505
ftp,P1108_46_SV_T2,0,0.5300210976680496
ftp,P1108_46_SV_T2,0,0.529941867035039
ftp,P1108_46_SV_T2,0,0.5296249294514525
ftp,P1108_46_SV_T2,0,0.5297041660971505
ftp,P1108_46_SV_T2,0,0.5288324815197517
ftp,P1108_46_SV_T2,0,0.5285947186147919
ftp,P1108_46_SV_T2,0,0.5278020824914395
ftp,P1108_46_SV_T2,0,0.5278020824914395
ftp,P1108_46_SV_T2,0,0.5288324815197517
ftp,P1108_46_SV_T2,0,0.5301795543908551
ftp,P1108_46_SV_T2,0,0.5312093733737563
ftp,P1108_46_SV_T2,0,0.5329515339724916
ftp,P1108_46_SV_T2,0,0.5323181117477349
ftp,P1108_46_SV_T2,0,0.5316053873101176
ftp,P1108_46_SV_T2,0,0.529941867035039
ftp,P1108_46_SV_T2,0,0.5273264332689125
ftp,P1108_46_SV_T2,0,0.5270885899993127
ftp,P1108_46_SV_T2,0,0.5281984183259212
ftp,P1108_46_SV_T2,0,0.5312093733737563
ftp,P1108_46_SV_T2,0,0.5317637817662106
ftp,P1108_46_SV_T2,0,0.5325556574001561
ftp,P1108_46_SV_T2,0,0.5305756695108023
ftp,P1108_46_SV_T2,0,0.5288324815197517
ftp,P1108_46_SV_T2,0,0.527722811102757
ftp,P1108_46_SV_T2,0,0.5293872105706724
ftp,P1108_46_SV_T2,0,0.530496449552616
ftp,P1108_46_SV_T2,0,0.5311301658531038
ftp,P1108_46_SV_T2,0,0.532793188294535
ftp,P1108_46_SV_T2,0,0.5331098730122504
ftp,P1108_46_SV_T2,0,0.533743162157036
ftp,P1108_46_SV_T2,0,0.5334265310507097
ftp,P1108_46_SV_T2,0,0.5339014675316491
ftp,P1108_46_SV_T2,0,0.5335848499861908
ftp,P1108_46_SV_T2,0,0.533743162157036
ftp,P1108_46_SV_T2,0,0.5340597660784396
ftp,P1108_46_SV_T2,0,0.53215973983327
ftp,P1108_46_SV_T2,0,0.5308133201245524
ftp,P1108_46_SV_T2,0,0.5308133201245524
ftp,P1108_46_SV_T2,0,0.531526187691629
ftp,P1108_46_SV_T2,0,0.5319221698214066
ftp,P1108_46_SV_T2,0,0.5324764771505257
ftp,P1108_46_SV_T2,0,0.5312885793218943
ftp,P1108_46_SV_T2,0,0.5308133201245524
ftp,P1108_46_SV_T2,0,0.5301795543908551
ftp,P1108_46_SV_T2,0,0.5294664516842472
ftp,P1108_46_SV_T2,0,0.5293872105706724
ftp,P1108_46_SV_T2,0,0.5285947186147919
ftp,P1108_46_SV_T2,0,0.5283569427347398
ftp,P1108_46_SV_T2,0,0.5278020824914395
ftp,P1108_46_SV_T2,0,0.5278020824914395
ftp,P1108_46_SV_T2,0,0.5281984183259212
ftp,P1108_46_SV_T2,0,0.5282776812432285
ftp,P1108_46_SV_T2,0,0.5284362027964843
ftp,P1108_46_SV_T2,0,0.5280398882298029
ftp,P1108_46_SV_T2,0,0.5281984183259212
ftp,P1108_46_SV_T2,0,0.5291494783576592
ftp,P1108_46_SV_T2,0,0.5294664516842472
ftp,P1108_46_SV_T2,0,0.5289909828617492
ftp,P1108_46_SV_T2,0,0.5284362027964843
ftp,P1108_46_SV_T2,0,0.5276435383160815
ftp,P1108_46_SV_T2,0,0.5275642641353858
ftp,P1108_46_SV_T2,0,0.5274057116078277
ftp,P1108_46_SV_T2,0,0.5278020824914395
ftp,P1108_46_SV_T2,0,0.5278020824914395
ftp,P1108_46_SV_T2,0,0.5283569427347398
ftp,P1108_46_SV_T2,0,0.5293872105706724
ftp,P1108_46_SV_T2,0,0.5297041660971505
ftp,P1108_46_SV_T2,0,0.5301795543908551
ftp,P1108_46_SV_T2,0,0.5293079679757381
ftp,P1108_46_SV_T2,0,0.5285947186147919
ftp,P1108_46_SV_T2,0,0.5283569427347398
