model,FP,TP
deep_network_matrix,0.3454803596781827,1.0
deep_network_matrix,0.3431140558447705,1.0
deep_network_matrix,0.3407477520113582,1.0
deep_network_matrix,0.33696166587789866,1.0
deep_network_matrix,0.3331755797444391,1.0
deep_network_matrix,0.33080927591102705,1.0
deep_network_matrix,0.326549929010885,1.0
deep_network_matrix,0.32276384287742554,1.0
deep_network_matrix,0.32039753904401325,1.0
deep_network_matrix,0.3166114529105537,1.0
deep_network_matrix,0.3132986275437766,1.0
deep_network_matrix,0.31235210601041175,1.0
deep_network_matrix,0.30951254141031703,1.0
deep_network_matrix,0.3080927591102698,1.0
deep_network_matrix,0.30667297681022243,1.0
deep_network_matrix,0.30194036914339795,1.0
deep_network_matrix,0.29957406530998587,1.0
deep_network_matrix,0.29578797917652633,1.0
deep_network_matrix,0.2929484145764316,1.0
deep_network_matrix,0.28821580690960724,1.0
deep_network_matrix,0.28537624230951253,1.0
deep_network_matrix,0.27827733080927586,0.9893617021276596
deep_network_matrix,0.2735447231424515,0.9893617021276596
deep_network_matrix,0.26739233317557976,0.9893617021276596
deep_network_matrix,0.2574538570752485,0.9893617021276596
deep_network_matrix,0.25177472787505917,0.9893617021276596
deep_network_matrix,0.24609559867486985,0.9893617021276596
deep_network_matrix,0.24088973024136295,0.9893617021276596
deep_network_matrix,0.23710364410790352,0.9893617021276596
deep_network_matrix,0.23331755797444398,0.9680851063829787
deep_network_matrix,0.2285849503076195,0.9574468085106383
deep_network_matrix,0.2210127780407004,0.9468085106382979
deep_network_matrix,0.21391386654046385,0.925531914893617
deep_network_matrix,0.20870799810695695,0.9042553191489362
deep_network_matrix,0.20302886890676763,0.8829787234042553
deep_network_matrix,0.19640321817321338,0.8829787234042553
deep_network_matrix,0.191670610506389,0.8723404255319149
deep_network_matrix,0.18220539517274015,0.8404255319148937
deep_network_matrix,0.175579744439186,0.8297872340425532
deep_network_matrix,0.16422148603880737,0.8085106382978723
deep_network_matrix,0.15759583530525323,0.7872340425531915
deep_network_matrix,0.15191670610506391,0.776595744680851
deep_network_matrix,0.13961192617132046,0.7553191489361702
deep_network_matrix,0.13203975390440137,0.7340425531914894
deep_network_matrix,0.12399432087079987,0.723404255319149
deep_network_matrix,0.11642214860388078,0.7127659574468085
deep_network_matrix,0.10932323710364411,0.7021276595744681
deep_network_matrix,0.10033128253667767,0.6914893617021277
deep_network_matrix,0.09133932796971134,0.6595744680851063
deep_network_matrix,0.08424041646947467,0.6595744680851063
deep_network_matrix,0.07903454803596777,0.648936170212766
deep_network_matrix,0.07146237576904879,0.574468085106383
deep_network_matrix,0.06341694273544718,0.5319148936170213
deep_network_matrix,0.05395172740179843,0.5106382978723404
deep_network_matrix,0.04637955513487935,0.4574468085106383
deep_network_matrix,0.038334122101277845,0.43617021276595747
deep_network_matrix,0.032181732134406005,0.40425531914893614
deep_network_matrix,0.02744912446758163,0.32978723404255317
deep_network_matrix,0.022716516800757258,0.2765957446808511
deep_network_matrix,0.017037387600567944,0.22340425531914893
deep_network_matrix,0.0132513014671084,0.1702127659574468
deep_network_matrix,0.010884997633696214,0.1276595744680851
deep_network_matrix,0.007572172266919086,0.10638297872340426
deep_network_matrix,0.006625650733554145,0.07446808510638298
