trip,datetime,lon,lat,gaps,dive,step_speed,step_direction,prediction
P1111_39_LB_T5,2011-11-23 15:59:10,-77.270023,-11.889875,0.0,1,1.6495334833501292,-87.62830284217512,0.6470588235294118
P1111_39_LB_T5,2011-11-23 15:59:25,-77.270152,-11.889903,0.0,0,0.9595155201522373,15.772185459896406,0.6470588235294118
P1111_39_LB_T5,2011-11-23 15:59:40,-77.270412,-11.890177,0.3333333333333333,0,2.7746963089740726,-34.61541427029243,0.6838235294117647
P1111_39_LB_T5,2011-11-23 15:59:55,-77.27135899999999,-11.8909425,0.5333333333333333,0,8.919587462101674,7.562810895165427,0.5367647058823529
P1111_39_LB_T5,2011-11-23 16:00:10,-77.27146,-11.892242999999999,0.4666666666666667,0,9.678606128448106,-46.0950393605479,0.5588235294117647
P1111_39_LB_T5,2011-11-23 16:00:25,-77.2710295,-11.8936465,0.4666666666666667,0,10.874152991621127,-21.052900281221355,0.5882352941176471
P1111_39_LB_T5,2011-11-23 16:00:40,-77.27139425,-11.894199375,1.0,1,4.883453075973347,49.55203673657314,0.5882352941176471
P1111_39_LB_T5,2011-11-23 16:00:55,-77.271488,-11.894115,0.5333333333333333,1,0.9249228961323166,99.7611853718858,0.5882352941176471
P1111_39_LB_T5,2011-11-23 16:01:10,-77.2716589047619,-11.893925666666698,1.0,1,1.8746179762828548,5.940072311117831,0.5882352941176471
P1111_39_LB_T5,2011-11-23 16:01:25,-77.271711047619,-11.893770666666699,0.13333333333333333,1,1.2109449641313856,23.233048566277375,0.5882352941176471
P1111_39_LB_T5,2011-11-23 16:01:40,-77.271828,-11.893835000000001,0.8,1,0.9742396234680347,-101.12184707590279,0.5882352941176471
P1111_39_LB_T5,2011-11-23 16:01:55,-77.27191243478259,-11.8937789565217,0.6666666666666666,1,0.7408670276917613,63.492008276470045,0.5882352941176471
P1111_39_LB_T5,2011-11-23 16:02:10,-77.27202700000001,-11.89366,0.13333333333333333,0,1.2129885130019453,12.548796517038511,0.5955882352941176
P1111_39_LB_T5,2011-11-23 16:02:25,-77.2720653333333,-11.893603333333301,0.06666666666666667,0,0.5042960111721069,9.799234753214364,0.5882352941176471
P1111_39_LB_T5,2011-11-23 16:02:40,-77.272437,-11.893792,0.4,0,3.040398205173419,-83.91603417765924,0.5955882352941176
P1111_39_LB_T5,2011-11-23 16:02:55,-77.273898,-11.893863,0.4666666666666667,0,10.622133934705797,24.575229370783177,0.6397058823529411
P1111_39_LB_T5,2011-11-23 16:03:10,-77.275262,-11.894181,0.5333333333333333,0,10.181922962405137,-10.557894148913192,0.7058823529411765
P1111_39_LB_T5,2011-11-23 16:03:25,-77.276555,-11.894785,0.26666666666666666,0,10.404093567810587,-12.117846036262506,0.8455882352941176
P1111_39_LB_T5,2011-11-23 16:03:40,-77.27666500000001,-11.894768,0.3333333333333333,1,0.8086635721680295,34.493999874071676,0.8455882352941176
P1111_39_LB_T5,2011-11-23 16:03:55,-77.276738,-11.894665,0.13333333333333333,0,0.9301699118860185,46.282955230904975,0.7132352941176471
P1111_39_LB_T5,2011-11-23 16:04:10,-77.276752,-11.894662,0.8666666666666667,1,0.10406981746666047,-42.90582990140962,0.7132352941176471
P1111_39_LB_T5,2011-11-23 16:04:25,-77.27684209090908,-11.8946201818182,0.7333333333333333,1,0.7240656497132013,13.025835795755597,0.7132352941176471
P1111_39_LB_T5,2011-11-23 16:04:40,-77.2767960526316,-11.894667526315802,1.0,1,0.4849710696519037,-158.9551884555892,0.7132352941176471
P1111_39_LB_T5,2011-11-23 16:04:55,-77.27668,-11.894797,0.7333333333333333,1,1.2780084075505591,2.323433645378003,0.8455882352941176
P1111_39_LB_T5,2011-11-23 16:05:10,-77.2766813333333,-11.894803666666698,0.4666666666666667,1,0.0504106471545949,52.326979132807594,0.8455882352941176
P1111_39_LB_T5,2011-11-23 16:05:25,-77.2767605,-11.8948485,0.9333333333333333,0,0.6641998925478956,48.867042099727286,0.8455882352941176
P1111_39_LB_T5,2011-11-23 16:05:40,-77.27681645,-11.8948353,0.8,1,0.41792144789711005,43.61522390249061,0.8455882352941176
P1111_39_LB_T5,2011-11-23 16:05:55,-77.2768332,-11.894864300000002,1.0,1,0.24719724503095553,-74.08097573351995,0.8455882352941176
P1111_39_LB_T5,2011-11-23 16:06:10,-77.27696970000001,-11.89488155,0.2,1,0.9994234233024353,53.166717693861386,0.8455882352941176
P1111_39_LB_T5,2011-11-23 16:06:25,-77.276725,-11.895052,0.6,1,2.1811078368960577,-137.19586174475378,0.8529411764705882
P1111_39_LB_T5,2011-11-23 16:06:40,-77.2766244117647,-11.8950897647059,1.0,1,0.7823354227530512,-14.454602958989085,0.8529411764705882
P1111_39_LB_T5,2011-11-23 16:06:55,-77.27662,-11.895253,0.5333333333333333,1,1.2117634726062887,67.49438152589227,0.8529411764705882
P1111_39_LB_T5,2011-11-23 16:07:10,-77.276585,-11.895227,0.0,1,0.31909132853927713,-125.6893547949914,0.8529411764705882
P1111_39_LB_T5,2011-11-23 16:07:25,-77.276855,-11.895792,0.4,0,4.628520209571586,152.2656940073499,0.7647058823529411
P1111_39_LB_T5,2011-11-23 16:07:40,-77.27711550000001,-11.896094999999999,0.6,1,2.9383618220943846,15.01152220519856,0.75
P1111_39_LB_T5,2011-11-23 16:07:55,-77.2772186666667,-11.896007,0.26666666666666666,0,0.9938111438452455,91.00605226816495,0.75
P1111_39_LB_T5,2011-11-23 16:08:10,-77.277283,-11.896057,0.4,0,0.5965764201464113,-79.53770943646009,0.75
P1111_39_LB_T5,2011-11-23 16:08:25,-77.27724805263159,-11.8959973684211,0.8,1,0.510115865001832,158.29162716925686,0.75
P1111_39_LB_T5,2011-11-23 16:08:40,-77.277187,-11.895952000000001,0.6666666666666666,1,0.5566769661471844,22.95359390599029,0.75
P1111_39_LB_T5,2011-11-23 16:08:55,-77.2774265,-11.896034833333301,0.8666666666666667,1,1.8445519786307956,-162.2524938242738,0.7426470588235294
P1111_39_LB_T5,2011-11-23 16:09:10,-77.277387,-11.896023,0.9333333333333333,1,0.2999682182626098,-177.55613706103208,0.7426470588235294
P1111_39_LB_T5,2011-11-23 16:09:25,-77.277275,-11.896042,0.9333333333333333,1,0.8254134219411495,26.85753744842198,0.75
