trip,datetime,lon,lat,dive,prediction
P1109_15_LB_T4,2009-12-03 19:30:28,-77.26298299999999,-11.772967999999999,0,0.0547945205479452
P1109_15_LB_T4,2009-12-03 19:30:33,-77.263037,-11.773297,0,0.0547945205479452
P1109_15_LB_T4,2009-12-03 19:30:38,-77.26336500000001,-11.77363,0,0.0958904109589041
P1109_15_LB_T4,2009-12-03 19:30:43,-77.263622,-11.774175,0,0.091324200913242
P1109_15_LB_T4,2009-12-03 19:30:48,-77.2638135,-11.774695,0,0.0867579908675799
P1109_15_LB_T4,2009-12-03 19:30:53,-77.263992,-11.775285,0,0.0821917808219178
P1109_15_LB_T4,2009-12-03 19:30:58,-77.264111,-11.775916,0,0.0776255707762557
P1109_15_LB_T4,2009-12-03 19:31:03,-77.264385,-11.77643,0,0.0776255707762557
P1109_15_LB_T4,2009-12-03 19:31:08,-77.265015,-11.7764825,0,0.0776255707762557
P1109_15_LB_T4,2009-12-03 19:31:13,-77.265725,-11.776425,0,0.0821917808219178
P1109_15_LB_T4,2009-12-03 19:31:18,-77.266533,-11.776338,0,0.0730593607305936
P1109_15_LB_T4,2009-12-03 19:31:23,-77.26702,-11.775936999999999,0,0.0776255707762557
P1109_15_LB_T4,2009-12-03 19:31:28,-77.2671325,-11.7752325,0,0.0867579908675799
P1109_15_LB_T4,2009-12-03 19:31:33,-77.26704000000001,-11.774348,0,0.091324200913242
P1109_15_LB_T4,2009-12-03 19:31:38,-77.26708,-11.7734355,0,0.0958904109589041
P1109_15_LB_T4,2009-12-03 19:31:43,-77.267172,-11.772306,0,0.0639269406392694
P1109_15_LB_T4,2009-12-03 19:31:48,-77.266851,-11.771721000000001,0,0.0547945205479452
P1109_15_LB_T4,2009-12-03 19:31:53,-77.266307,-11.770855000000001,0,0.0593607305936073
P1109_15_LB_T4,2009-12-03 19:31:58,-77.265896,-11.7699975,0,0.0547945205479452
P1109_15_LB_T4,2009-12-03 19:32:03,-77.265567,-11.769178,0,0.0547945205479452
P1109_15_LB_T4,2009-12-03 19:32:08,-77.2653775,-11.768292500000001,0,0.0593607305936073
P1109_15_LB_T4,2009-12-03 19:32:13,-77.265348,-11.76746,0,0.0547945205479452
P1109_15_LB_T4,2009-12-03 19:32:18,-77.26558299999999,-11.7665995,0,0.0593607305936073
P1109_15_LB_T4,2009-12-03 19:32:23,-77.265713,-11.765718,0,0.0593607305936073
P1109_15_LB_T4,2009-12-03 19:32:28,-77.26576800000001,-11.7648445,0,0.0593607305936073
P1109_15_LB_T4,2009-12-03 19:32:33,-77.265817,-11.76396,0,0.0593607305936073
P1109_15_LB_T4,2009-12-03 19:32:38,-77.2659665,-11.7631425,0,0.0593607305936073
P1109_15_LB_T4,2009-12-03 19:32:43,-77.266032,-11.762297,0,0.0593607305936073
P1109_15_LB_T4,2009-12-03 19:32:48,-77.2661985,-11.7614465,0,0.0593607305936073
P1109_15_LB_T4,2009-12-03 19:32:53,-77.266408,-11.760608,0,0.0593607305936073
P1109_15_LB_T4,2009-12-03 19:32:58,-77.266649,-11.75982,0,0.0639269406392694
P1109_15_LB_T4,2009-12-03 19:33:03,-77.26683299999999,-11.759033,0,0.0639269406392694
P1109_15_LB_T4,2009-12-03 19:33:08,-77.26719399999999,-11.758384,0,0.0639269406392694
P1109_15_LB_T4,2009-12-03 19:33:13,-77.2676346666667,-11.757641666666698,0,0.0684931506849315
P1109_15_LB_T4,2009-12-03 19:33:18,-77.26798000000001,-11.7570845,0,0.0684931506849315
P1109_15_LB_T4,2009-12-03 19:33:23,-77.268408,-11.756453,0,0.0730593607305936
P1109_15_LB_T4,2009-12-03 19:33:28,-77.268986,-11.755989,0,0.0776255707762557
P1109_15_LB_T4,2009-12-03 19:33:33,-77.269623,-11.755547,0,0.0776255707762557
P1109_15_LB_T4,2009-12-03 19:33:38,-77.2701765,-11.755017500000001,0,0.0730593607305936
P1109_15_LB_T4,2009-12-03 19:33:43,-77.270663,-11.754832,0,0.0730593607305936
P1109_15_LB_T4,2009-12-03 19:33:48,-77.271151,-11.7547925,0,0.0730593607305936
P1109_15_LB_T4,2009-12-03 19:33:53,-77.27135799999999,-11.754297,0,0.0730593607305936
P1109_15_LB_T4,2009-12-03 19:33:58,-77.27107149999999,-11.7535875,0,0.0776255707762557
P1109_15_LB_T4,2009-12-03 19:34:03,-77.27071,-11.75276,0,0.0867579908675799
P1109_15_LB_T4,2009-12-03 19:34:08,-77.2706915,-11.7520075,0,0.0867579908675799
P1109_15_LB_T4,2009-12-03 19:34:13,-77.270597,-11.751242999999999,0,0.1141552511415525
P1109_15_LB_T4,2009-12-03 19:34:18,-77.270555,-11.750465,0,0.1415525114155251
P1109_15_LB_T4,2009-12-03 19:34:23,-77.271005,-11.750077000000001,0,0.136986301369863
P1109_15_LB_T4,2009-12-03 19:34:28,-77.2715975,-11.7497945,0,0.136986301369863
P1109_15_LB_T4,2009-12-03 19:34:33,-77.272132,-11.749572,0,0.1415525114155251
P1109_15_LB_T4,2009-12-03 19:34:38,-77.2726575,-11.749325,0,0.136986301369863
P1109_15_LB_T4,2009-12-03 19:34:43,-77.27323299999999,-11.749117,0,0.1415525114155251
P1109_15_LB_T4,2009-12-03 19:34:48,-77.2738145,-11.748873,1,0.1415525114155251
P1109_15_LB_T4,2009-12-03 19:34:53,-77.2739546666667,-11.748776933333302,1,0.1415525114155251
P1109_15_LB_T4,2009-12-03 19:34:58,-77.274008,-11.7487506,1,0.1415525114155251
P1109_15_LB_T4,2009-12-03 19:35:03,-77.27406133333331,-11.748724266666699,1,0.1415525114155251
P1109_15_LB_T4,2009-12-03 19:35:08,-77.2741146666667,-11.748697933333302,1,0.1415525114155251
P1109_15_LB_T4,2009-12-03 19:35:13,-77.274168,-11.7486716,0,0.1415525114155251
P1109_15_LB_T4,2009-12-03 19:35:18,-77.2742213333333,-11.7486452666667,0,0.1415525114155251
P1109_15_LB_T4,2009-12-03 19:35:23,-77.27431175,-11.7486266,1,0.1415525114155251
P1109_15_LB_T4,2009-12-03 19:35:28,-77.2743955,-11.748609599999998,1,0.1780821917808219
P1109_15_LB_T4,2009-12-03 19:35:33,-77.27447925,-11.748592599999998,1,0.1872146118721461
P1109_15_LB_T4,2009-12-03 19:35:38,-77.274563,-11.748575599999999,0,0.2100456621004566
P1109_15_LB_T4,2009-12-03 19:35:43,-77.274612,-11.748908,0,0.2191780821917808
P1109_15_LB_T4,2009-12-03 19:35:48,-77.274677,-11.748569999999999,0,0.3287671232876712
P1109_15_LB_T4,2009-12-03 19:35:53,-77.27465699999999,-11.748602,0,0.3287671232876712
P1109_15_LB_T4,2009-12-03 19:35:58,-77.274642,-11.748682,0,0.3287671232876712
P1109_15_LB_T4,2009-12-03 19:36:03,-77.27486,-11.749002,0,0.3333333333333333
P1109_15_LB_T4,2009-12-03 19:36:08,-77.275352,-11.74918,0,0.3333333333333333
P1109_15_LB_T4,2009-12-03 19:36:13,-77.275992,-11.749113000000001,0,0.3333333333333333
P1109_15_LB_T4,2009-12-03 19:36:18,-77.276587,-11.748889,0,0.3378995433789954
P1109_15_LB_T4,2009-12-03 19:36:23,-77.277203,-11.74864,0,0.4520547945205479
P1109_15_LB_T4,2009-12-03 19:36:28,-77.2778535,-11.74841,0,0.6712328767123288
P1109_15_LB_T4,2009-12-03 19:36:33,-77.278472,-11.748333,0,0.6712328767123288
P1109_15_LB_T4,2009-12-03 19:36:38,-77.2789205,-11.74833925,0,0.639269406392694
P1109_15_LB_T4,2009-12-03 19:36:43,-77.278852,-11.748362,1,0.6438356164383562
P1109_15_LB_T4,2009-12-03 19:36:48,-77.27884759999999,-11.748385,1,0.6438356164383562
P1109_15_LB_T4,2009-12-03 19:36:53,-77.2788652666667,-11.748418333333301,1,0.6438356164383562
P1109_15_LB_T4,2009-12-03 19:36:58,-77.2788829333333,-11.748451666666698,1,0.6484018264840182
P1109_15_LB_T4,2009-12-03 19:37:03,-77.2789006,-11.748485,1,0.6438356164383562
P1109_15_LB_T4,2009-12-03 19:37:08,-77.2789182666667,-11.748518333333301,0,0.6438356164383562
P1109_15_LB_T4,2009-12-03 19:37:13,-77.2789359333333,-11.748551666666698,0,0.6438356164383562
P1109_15_LB_T4,2009-12-03 19:37:18,-77.27895500000001,-11.748592,1,0.6438356164383562
P1109_15_LB_T4,2009-12-03 19:37:23,-77.278992,-11.748590400000001,1,0.639269406392694
P1109_15_LB_T4,2009-12-03 19:37:28,-77.27904075,-11.7485784,1,0.639269406392694
P1109_15_LB_T4,2009-12-03 19:37:33,-77.2790895,-11.7485664,0,0.634703196347032
P1109_15_LB_T4,2009-12-03 19:37:38,-77.27913825,-11.748554400000002,0,0.634703196347032
P1109_15_LB_T4,2009-12-03 19:37:43,-77.279087,-11.74863,1,0.634703196347032
P1109_15_LB_T4,2009-12-03 19:37:48,-77.279092,-11.74864,1,0.634703196347032
P1109_15_LB_T4,2009-12-03 19:37:53,-77.27912366666669,-11.748698809523802,1,0.634703196347032
P1109_15_LB_T4,2009-12-03 19:37:58,-77.2791553333333,-11.748757619047598,1,0.634703196347032
P1109_15_LB_T4,2009-12-03 19:38:03,-77.279187,-11.7488164285714,0,0.634703196347032
P1109_15_LB_T4,2009-12-03 19:38:08,-77.2792186666667,-11.7488752380952,0,0.6301369863013698
P1109_15_LB_T4,2009-12-03 19:38:13,-77.27911999999999,-11.7488,1,0.639269406392694
P1109_15_LB_T4,2009-12-03 19:38:18,-77.2790975862069,-11.748808965517199,1,0.639269406392694
P1109_15_LB_T4,2009-12-03 19:38:23,-77.2790751724138,-11.7488179310345,1,0.634703196347032
P1109_15_LB_T4,2009-12-03 19:38:28,-77.27905275862071,-11.7488268965517,1,0.639269406392694
P1109_15_LB_T4,2009-12-03 19:38:33,-77.27903034482759,-11.748835862068999,0,0.639269406392694
P1109_15_LB_T4,2009-12-03 19:38:38,-77.2790079310345,-11.7488448275862,0,0.639269406392694
P1109_15_LB_T4,2009-12-03 19:38:43,-77.27899000000001,-11.748872,1,0.639269406392694
P1109_15_LB_T4,2009-12-03 19:38:48,-77.278997,-11.748822,1,0.639269406392694
P1109_15_LB_T4,2009-12-03 19:38:53,-77.2789937241379,-11.748819586206901,1,0.639269406392694
P1109_15_LB_T4,2009-12-03 19:38:58,-77.2789904482759,-11.7488171724138,1,0.639269406392694
P1109_15_LB_T4,2009-12-03 19:39:03,-77.27898717241379,-11.748814758620698,1,0.639269406392694
P1109_15_LB_T4,2009-12-03 19:39:08,-77.27898389655171,-11.7488123448276,1,0.639269406392694
P1109_15_LB_T4,2009-12-03 19:39:13,-77.27898062068971,-11.7488099310345,0,0.639269406392694
P1109_15_LB_T4,2009-12-03 19:39:18,-77.27913199999999,-11.749063,0,0.634703196347032
P1109_15_LB_T4,2009-12-03 19:39:23,-77.279085,-11.749028,0,0.639269406392694
P1109_15_LB_T4,2009-12-03 19:39:28,-77.279092,-11.749047000000001,0,0.639269406392694
P1109_15_LB_T4,2009-12-03 19:39:33,-77.279103,-11.749063,0,0.639269406392694
P1109_15_LB_T4,2009-12-03 19:39:38,-77.279088,-11.749077999999999,0,0.639269406392694
P1109_15_LB_T4,2009-12-03 19:39:43,-77.27910200000001,-11.749077,0,0.639269406392694
P1109_15_LB_T4,2009-12-03 19:39:48,-77.279092,-11.749077,0,0.639269406392694
P1109_15_LB_T4,2009-12-03 19:39:53,-77.279103,-11.749102,0,0.639269406392694
P1109_15_LB_T4,2009-12-03 19:39:58,-77.279157,-11.749137,0,0.634703196347032
P1109_15_LB_T4,2009-12-03 19:40:03,-77.27915300000001,-11.749182000000001,0,0.634703196347032
P1109_15_LB_T4,2009-12-03 19:40:08,-77.279363,-11.74951,0,0.6210045662100456
P1109_15_LB_T4,2009-12-03 19:40:13,-77.279725,-11.749848,0,0.6210045662100456
P1109_15_LB_T4,2009-12-03 19:40:18,-77.280068,-11.750233,0,0.6164383561643836
P1109_15_LB_T4,2009-12-03 19:40:23,-77.2804656666667,-11.750592,0,0.6164383561643836
P1109_15_LB_T4,2009-12-03 19:40:28,-77.280602,-11.750982,0,0.6164383561643836
P1109_15_LB_T4,2009-12-03 19:40:33,-77.28066,-11.7513,0,0.6073059360730594
P1109_15_LB_T4,2009-12-03 19:40:38,-77.280688,-11.751317,1,0.6073059360730594
P1109_15_LB_T4,2009-12-03 19:40:43,-77.28066700000001,-11.7512758333333,1,0.6073059360730594
P1109_15_LB_T4,2009-12-03 19:40:48,-77.280682,-11.751251875,1,0.6073059360730594
P1109_15_LB_T4,2009-12-03 19:40:53,-77.280697,-11.751227916666698,1,0.6073059360730594
P1109_15_LB_T4,2009-12-03 19:40:58,-77.280712,-11.751203958333301,0,0.6118721461187214
P1109_15_LB_T4,2009-12-03 19:41:03,-77.280727,-11.75118,0,0.6118721461187214
P1109_15_LB_T4,2009-12-03 19:41:08,-77.280805,-11.751232,1,0.6118721461187214
P1109_15_LB_T4,2009-12-03 19:41:13,-77.28086094444441,-11.7511925,1,0.6118721461187214
P1109_15_LB_T4,2009-12-03 19:41:18,-77.2809156666667,-11.751155,1,0.6118721461187214
P1109_15_LB_T4,2009-12-03 19:41:23,-77.2809703888889,-11.7511175,1,0.6118721461187214
P1109_15_LB_T4,2009-12-03 19:41:28,-77.28102511111109,-11.75108,0,0.6118721461187214
P1109_15_LB_T4,2009-12-03 19:41:33,-77.281002,-11.75106,0,0.6118721461187214
P1109_15_LB_T4,2009-12-03 19:41:38,-77.281032,-11.751062,1,0.6118721461187214
P1109_15_LB_T4,2009-12-03 19:41:43,-77.28103228571429,-11.7510557142857,1,0.6118721461187214
P1109_15_LB_T4,2009-12-03 19:41:48,-77.2810277619048,-11.7510402380952,1,0.6118721461187214
P1109_15_LB_T4,2009-12-03 19:41:53,-77.2810232380952,-11.7510247619048,1,0.6118721461187214
P1109_15_LB_T4,2009-12-03 19:41:58,-77.28101871428571,-11.7510092857143,1,0.6118721461187214
P1109_15_LB_T4,2009-12-03 19:42:03,-77.28101419047621,-11.750993809523802,1,0.6118721461187214
P1109_15_LB_T4,2009-12-03 19:42:08,-77.2810096666667,-11.750978333333302,1,0.6118721461187214
P1109_15_LB_T4,2009-12-03 19:42:13,-77.2810051428571,-11.750962857142902,1,0.6118721461187214
P1109_15_LB_T4,2009-12-03 19:42:18,-77.28100061904759,-11.7509473809524,0,0.6118721461187214
P1109_15_LB_T4,2009-12-03 19:42:23,-77.280992,-11.750952999999999,0,0.6118721461187214
P1109_15_LB_T4,2009-12-03 19:42:28,-77.281038,-11.750952999999999,1,0.6118721461187214
P1109_15_LB_T4,2009-12-03 19:42:33,-77.28105500000001,-11.750966666666699,1,0.6118721461187214
P1109_15_LB_T4,2009-12-03 19:42:38,-77.28107750000001,-11.75097875,1,0.6118721461187214
P1109_15_LB_T4,2009-12-03 19:42:43,-77.2811,-11.7509908333333,1,0.6118721461187214
P1109_15_LB_T4,2009-12-03 19:42:48,-77.2811225,-11.751002916666698,0,0.6073059360730594
P1109_15_LB_T4,2009-12-03 19:42:53,-77.281145,-11.751014999999999,0,0.6073059360730594
P1109_15_LB_T4,2009-12-03 19:42:58,-77.281173,-11.75097,0,0.6073059360730594
P1109_15_LB_T4,2009-12-03 19:43:03,-77.281185,-11.75095,0,0.6073059360730594
P1109_15_LB_T4,2009-12-03 19:43:08,-77.28119699999999,-11.750927,0,0.6118721461187214
P1109_15_LB_T4,2009-12-03 19:43:13,-77.281225,-11.750913,0,0.6118721461187214
P1109_15_LB_T4,2009-12-03 19:43:18,-77.281245,-11.750895,1,0.6118721461187214
P1109_15_LB_T4,2009-12-03 19:43:23,-77.2812676470588,-11.7508844705882,1,0.6118721461187214
P1109_15_LB_T4,2009-12-03 19:43:28,-77.2812808823529,-11.750866823529401,1,0.6118721461187214
P1109_15_LB_T4,2009-12-03 19:43:33,-77.28129411764709,-11.750849176470599,0,0.6118721461187214
P1109_15_LB_T4,2009-12-03 19:43:38,-77.28130735294121,-11.7508315294118,0,0.6118721461187214
P1109_15_LB_T4,2009-12-03 19:43:43,-77.28147,-11.750739999999999,1,0.6118721461187214
P1109_15_LB_T4,2009-12-03 19:43:48,-77.2814884615385,-11.750746807692302,1,0.6118721461187214
P1109_15_LB_T4,2009-12-03 19:43:53,-77.2815307692308,-11.7507208461538,1,0.6118721461187214
P1109_15_LB_T4,2009-12-03 19:43:58,-77.2815730769231,-11.7506948846154,1,0.6118721461187214
P1109_15_LB_T4,2009-12-03 19:44:03,-77.2816153846154,-11.750668923076901,1,0.6118721461187214
P1109_15_LB_T4,2009-12-03 19:44:08,-77.2816576923077,-11.750642961538501,0,0.6118721461187214
P1109_15_LB_T4,2009-12-03 19:44:13,-77.2817,-11.750617,0,0.6164383561643836
P1109_15_LB_T4,2009-12-03 19:44:18,-77.28138,-11.750608,1,0.6118721461187214
P1109_15_LB_T4,2009-12-03 19:44:23,-77.2813501428571,-11.7505942857143,1,0.6118721461187214
P1109_15_LB_T4,2009-12-03 19:44:28,-77.2813090714286,-11.750587142857098,0,0.6164383561643836
P1109_15_LB_T4,2009-12-03 19:44:33,-77.28126800000001,-11.750580000000001,0,0.6164383561643836
