"model","trip","real","p"
"hmm","P1108_46_SV_T2",0,2.64340359089863e-06
"hmm","P1108_46_SV_T2",0,2.83587867961287e-06
"hmm","P1108_46_SV_T2",0,2.6897900319119e-06
"hmm","P1108_46_SV_T2",0,5.03364942219807e-06
"hmm","P1108_46_SV_T2",0,3.26443525008846e-06
"hmm","P1108_46_SV_T2",0,3.22370085387528e-06
"hmm","P1108_46_SV_T2",0,3.35572775453368e-06
"hmm","P1108_46_SV_T2",0,0.000155087763409991
"hmm","P1108_46_SV_T2",0,0.00270461858675897
"hmm","P1108_46_SV_T2",0,5.36634515825893e-06
"hmm","P1108_46_SV_T2",0,2.40612275295569e-06
"hmm","P1108_46_SV_T2",0,3.03043374517291e-06
"hmm","P1108_46_SV_T2",0,2.39521275050193e-06
"hmm","P1108_46_SV_T2",0,2.4106114899632e-06
"hmm","P1108_46_SV_T2",0,2.44651806274696e-06
"hmm","P1108_46_SV_T2",0,5.89151639501605e-06
"hmm","P1108_46_SV_T2",0,0.000700019237782987
"hmm","P1108_46_SV_T2",0,0.0015555819941331
"hmm","P1108_46_SV_T2",0,0.0173307629866759
"hmm","P1108_46_SV_T2",0,7.78081918150513e-06
"hmm","P1108_46_SV_T2",0,0.00219125379095647
"hmm","P1108_46_SV_T2",0,0.0121136255973169
"hmm","P1108_46_SV_T2",0,0.0114960533057517
"hmm","P1108_46_SV_T2",0,1
"hmm","P1108_46_SV_T2",0,1
"hmm","P1108_46_SV_T2",0,1
"hmm","P1108_46_SV_T2",0,1
"hmm","P1108_46_SV_T2",0,1
"hmm","P1108_46_SV_T2",0,1
"hmm","P1108_46_SV_T2",0,1
"hmm","P1108_46_SV_T2",0,1
"hmm","P1108_46_SV_T2",0,1
"hmm","P1108_46_SV_T2",0,1
"hmm","P1108_46_SV_T2",0,1
"hmm","P1108_46_SV_T2",0,1
"hmm","P1108_46_SV_T2",0,1
"hmm","P1108_46_SV_T2",0,1
"hmm","P1108_46_SV_T2",0,1
