trip,datetime,lon,lat,gaps,dive,step_speed,step_direction,lon_std,lat_std,step_speed_std,step_direction_cos,step_direction_sin,FCNet,CNNet,UNet,hmm,fpt
P1113_28_SV_T3,2013-11-20 09:15:50,-77.269852,-11.777327,0.0,0,13.263147936918301,-3.3870268899423794,1.71852668208061,1.60287280608829,0.748118342306862,0.998253230690745,-0.0590803471172115,0.5,0.41197568547108004,0.0520078183814713,4.8397084575352395e-05,0.1875
P1113_28_SV_T3,2013-11-20 09:16:20,-77.272453,-11.780130999999999,0.0,0,14.0534514069723,-6.739896409438419,1.66167380144489,1.51310717084623,0.793904226064447,0.9930891681675179,-0.11736227702438198,0.5,0.612431140676478,0.0565461125245982,7.06351203096317e-06,0.21875
P1113_28_SV_T3,2013-11-20 09:16:50,-77.275284,-11.781932000000001,0.0,0,12.2634909997962,14.7400569762055,1.59979356112199,1.4554509978538102,0.6902036575625171,0.9670901075930379,0.254434124668227,0.5,0.7914259407657769,0.0583165939270355,1.07579546466684e-05,0.3125
P1113_28_SV_T3,2013-11-20 09:17:20,-77.278801,-11.783562,0.0,0,14.133894559917,7.683465769502161,1.52291867408005,1.4032691200205298,0.798564664730585,0.99102182375094,0.133700205120862,0.5,0.8342131414625742,0.0947550222822096,9.66863968159032e-05,0.34375
P1113_28_SV_T3,2013-11-20 09:17:50,-77.282555,-11.784155,0.0,0,13.811713035709,16.1681260266025,1.4408634207518403,1.3842851607842401,0.7798992199044069,0.960448741440229,0.278456845966982,0.5,0.9079783060808458,0.15680620623788097,0.0028899808364606,0.34375
P1113_28_SV_T3,2013-11-20 09:18:20,-77.285912,-11.782989,0.0,0,12.9381249747729,28.7018490005862,1.36748582740547,1.4216128108171102,0.7292882800241801,0.877130665885243,0.4802518037068789,0.5,0.933979765521501,0.219152766589344,0.0647506617188508,0.34375
P1113_28_SV_T3,2013-11-20 09:18:50,-77.28780400000001,-11.781118,0.0,0,9.76836102587853,25.755157073596603,1.32613032945685,1.48150992334847,0.545649400527482,0.9006591321627919,0.434526325614186,0.5,0.9247168988730219,0.30086048333125104,0.999983485331614,0.34375
P1113_28_SV_T3,2013-11-20 09:19:20,-77.287437,-11.781322,0.0,0,1.53294368703667,164.298734797589,1.33415224687122,1.47497918526381,0.0685341210694899,-0.962685770806854,0.27062170401875196,0.5,0.879490491593219,0.332003290721133,0.712659235944476,0.34375
P1113_28_SV_T3,2013-11-20 09:19:50,-77.289864,-11.783669999999999,0.0,0,12.394008500496499,105.748889383987,1.2811026731292599,1.3998116704462702,0.697765131530218,-0.271421793672107,0.9624604978490371,0.5,0.804454418619754,0.284485980770524,0.0035600049294934604,0.34375
P1113_28_SV_T3,2013-11-20 09:20:20,-77.29280899999999,-11.785996,0.0,0,13.744317180059301,5.76472775776932,1.21673061104878,1.3253484509124098,0.7759946706654771,0.9949427322533299,0.100443812832239,0.5,0.66333950335712,0.18517377573073499,2.5184806495404397e-05,0.34375
P1113_28_SV_T3,2013-11-20 09:20:50,-77.296257,-11.787955,0.0,0,14.4802532191703,8.76661483296121,1.1413639319125901,1.26263415724656,0.8186308012362491,0.9883173556344749,0.15240998835928699,0.8233799449926841,0.546986152797562,0.10559866398436099,6.89773974234814e-07,0.34375
P1113_28_SV_T3,2013-11-20 09:21:20,-77.29984300000001,-11.789307,0.0,0,13.9575362202881,9.0666428390262,1.06298083696397,1.21935201072471,0.788347421932221,0.987505717811874,0.157583175779826,0.667972830267555,0.510506911790951,0.0572940535089575,6.42805125691883e-07,0.3125
P1113_28_SV_T3,2013-11-20 09:21:50,-77.303886,-11.790442,0.0,0,15.276652536944198,5.06195620846077,0.9746085968988709,1.1830167767733302,0.86476984524896,0.9960998707109979,0.0882329165874825,0.5866880099006629,0.414890111258986,0.0353695807146993,8.88056848905334e-06,0.3125
P1113_28_SV_T3,2013-11-20 09:22:20,-77.307404,-11.792311,0.0,0,14.5383098499417,-12.4875722158399,0.8977118517713891,1.123183691086,0.8219942865916621,0.97634293115042,-0.216227844628315,0.4371326358960789,0.6631147699088821,0.025574445951287002,0.000114667263385151,0.3125
P1113_28_SV_T3,2013-11-20 09:22:50,-77.310158,-11.794038,0.0,0,11.879244703419099,-4.15437784336274,0.837514684039498,1.0678965113203,0.667942517472872,0.9973724774729671,-0.0724440555148376,0.6728249719065389,0.685453990932463,0.0219746875180271,0.0055007442408004795,0.3125
P1113_28_SV_T3,2013-11-20 09:23:20,-77.311722,-11.793559,0.0,0,5.95211683603017,50.0175334881166,0.803328638166975,1.08323094045046,0.32455697276042794,0.6425531568961529,0.7662411112455321,0.674960868199434,0.584562969121913,0.0210826494836218,0.0028201541577415803,0.3125
P1113_28_SV_T3,2013-11-20 09:23:50,-77.313637,-11.793847,0.0,0,7.03704773253366,-26.107753396796497,0.7614704042502909,1.0740110749192,0.387411966815977,0.897968033957058,-0.440060688986526,0.497207232457944,0.399540376181981,0.0198096987502952,0.000848750553810721,0.28125
P1113_28_SV_T3,2013-11-20 09:24:20,-77.31665,-11.796291,0.0,0,14.2123648952315,-30.912571182189804,0.695611992348985,0.99577027159126,0.803110809075471,0.85795220974477,-0.5137295064467939,0.267821557420939,0.302913420279117,0.0173172505847651,2.6965295877829002e-05,0.28125
P1113_28_SV_T3,2013-11-20 09:24:50,-77.319626,-11.799131,0.0,0,15.0954659519902,-4.624896598175269,0.630562329614561,0.9048521531578622,0.854272880182399,0.99674393570735,-0.0806320446883355,0.34168255036641804,0.24111939246920605,0.0143759428062075,1.24481287053213e-06,0.28125
P1113_28_SV_T3,2013-11-20 09:25:20,-77.322487,-11.801525999999999,0.0,0,13.672763948184302,3.73486672919711,0.568026346723878,0.828180007507083,0.771849265664429,0.9978761630597791,0.0651395670625276,0.29930188295267196,0.22840367941579998,0.0119003358047309,1.7035202758266802e-07,0.21875
P1113_28_SV_T3,2013-11-20 09:25:50,-77.32570600000001,-11.803817,0.0,0,14.454954616250902,4.51651159421229,0.497665169189006,0.7548372577426651,0.8171651378089849,0.996894681862793,0.0787463857817086,0.285087008317657,0.205534026503935,0.00851162228361374,1.08827992537819e-07,0.25
P1113_28_SV_T3,2013-11-20 09:26:20,-77.328743,-11.80598,0.0,0,13.6409517401581,-0.019507837880326,0.431282163233784,0.685592225992153,0.770006239391675,0.999999942038047,-0.000340475994378741,0.30926966865394,0.21431667154029999,0.0064162792564320895,1.0747501343494599e-07,0.25
P1113_28_SV_T3,2013-11-20 09:26:50,-77.332138,-11.808008000000001,0.0,0,14.4450067412499,4.64570813001637,0.357073962634682,0.620669006209433,0.8165888120484529,0.996714581997187,0.0809940864148277,0.41226819232396106,0.209943758812609,0.00532195756706771,1.07236010371167e-07,0.25
P1113_28_SV_T3,2013-11-20 09:27:20,-77.33538100000001,-11.809887,0.0,0,13.6869515766064,0.771539954821634,0.28618819104589305,0.5605157863022271,0.7726712196736708,0.999909335969998,0.0134655055619004,0.34199979539912606,0.200421441824024,0.00493423420254339,1.1876738804521699e-07,0.25
P1113_28_SV_T3,2013-11-20 09:27:50,-77.33850100000001,-11.812033,0.0,0,13.849273819816402,-4.473067425221981,0.21799096398548498,0.491814982725426,0.782075287402717,0.996954104240917,-0.0779904740156862,0.32276540689021194,0.210820116487855,0.00495923389355897,1.2923736349231201e-07,0.25
P1113_28_SV_T3,2013-11-20 09:28:20,-77.341324,-11.814435000000001,0.0,0,13.584830764053098,-5.90408927623514,0.156285588347846,0.41491874312081606,0.76675489533756,0.994695478143229,-0.10286352979269699,0.29413248583699,0.20395667883719198,0.00531306948189867,1.02906666475757e-07,0.25
P1113_28_SV_T3,2013-11-20 09:28:50,-77.344543,-11.816903,0.0,0,14.850232569865401,2.92830234090906,0.0859244108135952,0.335909617665276,0.840065392106103,0.9986942439929609,0.0510862703211643,0.337586885871494,0.226712986751927,0.005861237226705379,1.1508757211886199e-07,0.25
P1113_28_SV_T3,2013-11-20 09:29:20,-77.347412,-11.819469999999999,0.0,0,14.1168261610011,-4.359422015468001,0.0232135632379632,0.253731163433344,0.79757581455049,0.9971068360808081,-0.0760128768099275,0.305901286364719,0.22097993216037198,0.00643711491203758,2.48520038091812e-07,0.25
P1113_28_SV_T3,2013-11-20 09:29:50,-77.350914,-11.821315,0.0,0,14.443659618620698,14.139185359265001,-0.0533334525199305,0.194666399873618,0.8165107670917461,0.9697051768703181,0.244278263361489,0.316117746925047,0.22958429921843498,0.00687509538612397,1.45103078627233e-07,0.25
P1113_28_SV_T3,2013-11-20 09:30:20,-77.354065,-11.823339,0.0,0,13.6876527104515,-4.98349838022023,-0.12220828023366401,0.129871233778794,0.7727118395544492,0.9962197582910719,-0.0868688274957004,0.28372188746134,0.225382086466301,0.00713360743933158,1.79063018139132e-07,0.28125
P1113_28_SV_T3,2013-11-20 09:30:50,-77.357635,-11.824811,0.0,0,14.068555740634999,10.431187354117199,-0.20024164581207501,0.0827474766189428,0.7947792889884,0.983473064564021,0.18105449808566498,0.312145116472692,0.218272366517991,0.007167745006481691,1.8307668824499102e-07,0.28125
P1113_28_SV_T3,2013-11-20 09:31:20,-77.36093100000001,-11.826957,0.0,0,14.3764231105441,-10.7883570172077,-0.27228589593764496,0.0140466730421423,0.8126154495843421,0.9823253079015329,-0.18718170171295398,0.29249309606563395,0.231010240776032,0.00707954031324833,1.64220118204976e-07,0.28125
P1113_28_SV_T3,2013-11-20 09:31:50,-77.364532,-11.8285,0.0,0,14.2758085359398,9.9890921518469,-0.35099686216907,-0.0353500370785496,0.8067863884809742,0.984840793934707,0.17346068892419503,0.303208830899331,0.212546965309177,0.00667604210057163,1.21065446548984e-07,0.28125
P1113_28_SV_T3,2013-11-20 09:32:20,-77.367989,-11.830066,0.0,0,13.833905811063198,-1.19259036390258,-0.426560264075133,-0.0854830559048819,0.781184948578424,0.9997833834415759,-0.0208131255248904,0.28964789766543203,0.255574213888016,0.00589118970711004,2.0015337644783799e-07,0.28125
P1113_28_SV_T3,2013-11-20 09:32:50,-77.37110899999999,-11.831794,0.0,0,13.018835301708801,-4.66826696363842,-0.49475749113491996,-0.140802249092543,0.7339641972979241,0.9966826152712551,-0.0813865124947144,0.28563956106854604,0.227047179064814,0.0045651442762543295,6.173143047204061e-07,0.28125
P1113_28_SV_T3,2013-11-20 09:33:20,-77.37509200000001,-11.832492,0.0,0,14.694585603682802,19.352804379943603,-0.581818246065694,-0.163147617637093,0.8310480536141321,0.943495945345233,0.331384068894546,0.31193583488927396,0.221894119269513,0.00305293824549706,2.61957281026023e-07,0.28125
P1113_28_SV_T3,2013-11-20 09:33:50,-77.378929,-11.834036,0.0,0,15.0660036109974,-12.198067147788201,-0.665687720497849,-0.212576341179744,0.852565992422145,0.977423022694818,-0.21129182356666099,0.257052943510189,0.21102651594852304,0.00175121229414796,1.1251400469715499e-07,0.25
P1113_28_SV_T3,2013-11-20 09:34:20,-77.38299599999999,-11.835527,0.0,0,15.7715775014321,1.81473303202833,-0.7545845546171759,-0.26030835335734,0.893443105270486,0.9994984503616609,0.0316677710715107,0.434632577911316,0.20258273190540999,0.000893162708500699,9.149876370015991e-08,0.25
P1113_28_SV_T3,2013-11-20 09:34:50,-77.386848,-11.837036,0.0,0,15.0675187276565,-1.27945644353161,-0.8387819003343101,-0.30861660713055106,0.85265377003905,0.999750679663769,-0.0223288717097995,0.39717946007345795,0.21292929634085,0.000464574338159691,1.44463378503544e-07,0.25
P1113_28_SV_T3,2013-11-20 09:35:20,-77.390404,-11.839171,0.0,0,15.149741742081002,-9.712625722026472,-0.916509252714525,-0.376965263065568,0.857417324196771,0.9856663167664941,-0.168706585502681,0.37965965773152,0.218185571586978,0.000279299828906338,1.63542416080459e-07,0.21875
P1113_28_SV_T3,2013-11-20 09:35:50,-77.393486,-11.84185,0.0,0,14.9690343773245,-10.0827962541186,-0.9838758725218899,-0.462729220559653,0.846948122541468,0.984555791559126,-0.17507110928814903,0.680622259193528,0.232087848941307,0.00024874684824167004,3.6064285276055496e-07,0.21875
P1113_28_SV_T3,2013-11-20 09:36:20,-77.39627800000001,-11.844916,0.0,0,15.2385734130124,-6.681531193936619,-1.04490364750714,-0.560882372361333,0.8625637479610259,0.9932082057580741,-0.11635059095177801,0.6378775579441489,0.30870110244542304,0.00041121090446017203,4.74375216585143e-06,0.21875
P1113_28_SV_T3,2013-11-20 09:36:50,-77.398926,-11.847949,0.0,0,14.802392524101698,-1.19609960578123,-1.1027838581654599,-0.6579790812376041,0.8372938001072191,0.999782106807664,-0.0208743600435522,0.61438411259923,0.429057004284364,0.00145193517181862,0.000123200301991221,0.25
P1113_28_SV_T3,2013-11-20 09:37:20,-77.400253,-11.851556,0.0,0,14.224537791064902,-20.7109890451548,-1.13178953775172,-0.7734514943324721,0.8038160404387851,0.935376218910383,-0.3536542507830421,0.919148217913035,0.6427206615517349,0.0101292907504626,0.000662942097863346,0.34375
P1113_28_SV_T3,2013-11-20 09:37:50,-77.402008,-11.85375,0.0,0,10.3384870051964,18.2540134451448,-1.17015047797283,-0.8436889421644731,0.578679398250315,0.9496771874262071,0.313230330080357,0.902012824293261,0.7392702253690291,0.0800426225754204,0.00806302723664361,0.4375
P1113_28_SV_T3,2013-11-20 09:38:20,-77.40265699999999,-11.856755999999999,0.0,0,11.3997557074246,-26.1247496452895,-1.18433637552437,-0.9399212886472091,0.640163533493281,0.8978374546290071,-0.44032704330452505,0.9725023720983571,0.899427938071458,0.45042757757719704,0.10117855188927699,0.5
P1113_28_SV_T3,2013-11-20 09:38:50,-77.401733,-11.859088,0.0,0,9.28044072837088,-33.125582550918004,-1.16413950443382,-1.0145765887129399,0.517381952804993,0.837474798737787,-0.546475947759006,0.9037452262173191,0.943577151647232,0.799404332668989,0.997321267722131,0.8125
P1113_28_SV_T3,2013-11-20 09:39:20,-77.40214499999999,-11.859447,0.1,0,2.00312719257873,69.514001501951,-1.17314503569909,-1.02606940720504,0.0957739955546834,0.349978474059018,0.9367577422660149,0.867551757105624,0.959366064398339,0.9617331488327131,0.9430071861171291,0.9375
P1113_28_SV_T3,2013-11-20 09:39:50,-77.404421,-11.859001875,0.0666666666666667,1,8.42805337604939,52.981571693449496,-1.22289403851659,-1.01181943274462,0.46799926664879604,0.6020718608517739,0.798441904192461,0.962950015905728,0.957677732719332,0.9591052111666009,0.998312644253007,0.71875
P1113_28_SV_T3,2013-11-20 09:40:20,-77.404259,-11.860348,0.133333333333333,1,5.0291984950921504,-108.01795627507099,-1.2193530286499399,-1.05491350041228,0.271088104816515,-0.309315036618118,-0.9509596248642379,0.978970483685213,0.9671077794016429,0.987133553256751,0.9999993618340179,0.9375
P1113_28_SV_T3,2013-11-20 09:40:50,-77.40435,-11.8606,0.0,1,0.9916948979926791,26.1806247394103,-1.2213421144391399,-1.06298088275214,0.0371771106575152,0.8974076189113671,0.44120240878742895,0.924668065923813,0.958418992251202,0.965779485158582,0.979948397329766,0.90625
P1113_28_SV_T3,2013-11-20 09:41:20,-77.402817,-11.861914,0.133333333333333,0,7.399826833397139,-68.2500380381322,-1.18783366922025,-1.10504651923862,0.40842941438037,0.37055682088177794,-0.9288097988813371,0.975901592216357,0.978923053937598,0.9889235465472521,0.9954353508650009,0.99999
P1113_28_SV_T3,2013-11-20 09:41:50,-77.40278599999999,-11.862912,0.0,1,3.7047003050175698,47.0453686066686,-1.1871560685663,-1.13699591437822,0.19435388503161802,0.6814190373725281,0.73189350011207,0.953468551496323,0.955774603081707,0.964047380149241,0.9999138488004109,0.99999
