file,name,model,nb,method,auc
SD_UNet_30_from_LB_0.ckpt,SD_UNet_30_from_LB,UNet,30,LB,0.923804213277095
SD_UNet_1_from_LB_1.ckpt,SD_UNet_1_from_LB,UNet,1,LB,0.638249988538419
SD_UNet_5_from_LB_1.ckpt,SD_UNet_5_from_LB,UNet,5,LB,0.825920708784155
SD_UNet_15_from_LB_1.ckpt,SD_UNet_15_from_LB,UNet,15,LB,0.880088196864111
SD_UNet_30_from_LB_1.ckpt,SD_UNet_30_from_LB,UNet,30,LB,0.911530350265909
SD_UNet_1_from_LB_2.ckpt,SD_UNet_1_from_LB,UNet,1,LB,0.754587841555107
SD_UNet_5_from_LB_2.ckpt,SD_UNet_5_from_LB,UNet,5,LB,0.785819503025857
SD_UNet_15_from_LB_2.ckpt,SD_UNet_15_from_LB,UNet,15,LB,0.907227500916927
SD_UNet_30_from_LB_2.ckpt,SD_UNet_30_from_LB,UNet,30,LB,0.915459437465615
SD_UNet_1_from_LB_3.ckpt,SD_UNet_1_from_LB,UNet,1,LB,0.63815170548322
SD_UNet_5_from_LB_3.ckpt,SD_UNet_5_from_LB,UNet,5,LB,0.821849497982762
SD_UNet_15_from_LB_3.ckpt,SD_UNet_15_from_LB,UNet,15,LB,0.873705586374473
SD_UNet_30_from_LB_3.ckpt,SD_UNet_30_from_LB,UNet,30,LB,0.913389705208142
SD_UNet_1_from_LB_4.ckpt,SD_UNet_1_from_LB,UNet,1,LB,0.638172794791858
SD_UNet_5_from_LB_4.ckpt,SD_UNet_5_from_LB,UNet,5,LB,0.70269673803411
SD_UNet_15_from_LB_4.ckpt,SD_UNet_15_from_LB,UNet,15,LB,0.893233827709518
SD_UNet_30_from_LB_4.ckpt,SD_UNet_30_from_LB,UNet,30,LB,0.914593400421786
SD_CNNet_1_from_LB_0.ckpt,SD_CNNet_1_from_LB,CNNet,1,LB,0.599091211259857
SD_CNNet_5_from_LB_0.ckpt,SD_CNNet_5_from_LB,CNNet,5,LB,0.883309989913809
SD_CNNet_15_from_LB_0.ckpt,SD_CNNet_15_from_LB,CNNet,15,LB,0.91838850174216
SD_CNNet_30_from_LB_0.ckpt,SD_CNNet_30_from_LB,CNNet,30,LB,0.927860925178801
SD_CNNet_1_from_LB_1.ckpt,SD_CNNet_1_from_LB,CNNet,1,LB,0.673523404547955
SD_CNNet_5_from_LB_1.ckpt,SD_CNNet_5_from_LB,CNNet,5,LB,0.867948835503393
SD_CNNet_15_from_LB_1.ckpt,SD_CNNet_15_from_LB,CNNet,15,LB,0.898186663304603
SD_CNNet_30_from_LB_1.ckpt,SD_CNNet_30_from_LB,CNNet,30,LB,0.916912536677059
SD_CNNet_1_from_LB_2.ckpt,SD_CNNet_1_from_LB,CNNet,1,LB,0.597632209334311
SD_CNNet_5_from_LB_2.ckpt,SD_CNNet_5_from_LB,CNNet,5,LB,0.835586202549055
SD_CNNet_15_from_LB_2.ckpt,SD_CNNet_15_from_LB,CNNet,15,LB,0.909151040711535
SD_CNNet_30_from_LB_2.ckpt,SD_CNNet_30_from_LB,CNNet,30,LB,0.931431551439574
SD_CNNet_1_from_LB_3.ckpt,SD_CNNet_1_from_LB,CNNet,1,LB,0.582041479460847
SD_CNNet_5_from_LB_3.ckpt,SD_CNNet_5_from_LB,CNNet,5,LB,0.858642490372272
SD_CNNet_15_from_LB_3.ckpt,SD_CNNet_15_from_LB,CNNet,15,LB,0.91093853154227
SD_CNNet_30_from_LB_3.ckpt,SD_CNNet_30_from_LB,CNNet,30,LB,0.92081308454062
SD_CNNet_1_from_LB_4.ckpt,SD_CNNet_1_from_LB,CNNet,1,LB,0.670973088208326
SD_CNNet_5_from_LB_4.ckpt,SD_CNNet_5_from_LB,CNNet,5,LB,0.712004917018155
SD_CNNet_15_from_LB_4.ckpt,SD_CNNet_15_from_LB,CNNet,15,LB,0.874442967174033
SD_CNNet_30_from_LB_4.ckpt,SD_CNNet_30_from_LB,CNNet,30,LB,0.917993707592151
SD_FCNet_1_from_LB_0.ckpt,SD_FCNet_1_from_LB,FCNet,1,LB,0.580811307995599
SD_FCNet_5_from_LB_0.ckpt,SD_FCNet_5_from_LB,FCNet,5,LB,0.678619853750229
SD_FCNet_15_from_LB_0.ckpt,SD_FCNet_15_from_LB,FCNet,15,LB,0.712948147808546
SD_FCNet_30_from_LB_0.ckpt,SD_FCNet_30_from_LB,FCNet,30,LB,0.744243421052632
SD_FCNet_1_from_LB_1.ckpt,SD_FCNet_1_from_LB,FCNet,1,LB,0.460101836145241
SD_FCNet_5_from_LB_1.ckpt,SD_FCNet_5_from_LB,FCNet,5,LB,0.670497604529617
SD_FCNet_15_from_LB_1.ckpt,SD_FCNet_15_from_LB,FCNet,15,LB,0.729169150009169
SD_FCNet_30_from_LB_1.ckpt,SD_FCNet_30_from_LB,FCNet,30,LB,0.755654456262608
SD_FCNet_1_from_LB_2.ckpt,SD_FCNet_1_from_LB,FCNet,1,LB,0.610676004034477
SD_FCNet_5_from_LB_2.ckpt,SD_FCNet_5_from_LB,FCNet,5,LB,0.641829268292683
SD_FCNet_15_from_LB_2.ckpt,SD_FCNet_15_from_LB,FCNet,15,LB,0.712263146433156
SD_FCNet_30_from_LB_2.ckpt,SD_FCNet_30_from_LB,FCNet,30,LB,0.734583658078122
SD_FCNet_1_from_LB_3.ckpt,SD_FCNet_1_from_LB,FCNet,1,LB,0.577177471116816
SD_FCNet_5_from_LB_3.ckpt,SD_FCNet_5_from_LB,FCNet,5,LB,0.686226159911975
SD_FCNet_15_from_LB_3.ckpt,SD_FCNet_15_from_LB,FCNet,15,LB,0.728511312580231
SD_FCNet_30_from_LB_3.ckpt,SD_FCNet_30_from_LB,FCNet,30,LB,0.761841188336695
SD_FCNet_1_from_LB_4.ckpt,SD_FCNet_1_from_LB,FCNet,1,LB,0.537910725747295
SD_FCNet_5_from_LB_4.ckpt,SD_FCNet_5_from_LB,FCNet,5,LB,0.58468148267009
SD_FCNet_15_from_LB_4.ckpt,SD_FCNet_15_from_LB,FCNet,15,LB,0.688562603154227
SD_FCNet_30_from_LB_4.ckpt,SD_FCNet_30_from_LB,FCNet,30,LB,0.768188153310104
