"ID","step","angle","datetime","dive","x","y","prediction"
"P1108_6_SV_T2",0.243561355502412,0.157089175687678,2008-11-25 21:13:30,0,-77.31033,-11.722227,7.22162610663577e-06
"P1108_6_SV_T2",0.244190069365866,-0.0754312922142647,2008-11-25 21:13:45,0,-77.312348,-11.721282,5.91457021243377e-06
"P1108_6_SV_T2",0.217903455703694,-0.0789627245623813,2008-11-25 21:14:00,0,-77.314293,-11.720187,6.95315404924122e-06
"P1108_6_SV_T2",0.247520479875139,0.244312230994441,2008-11-25 21:14:15,0,-77.315945,-11.719078,1.17717772566893e-05
"P1108_6_SV_T2",0.243434294020846,0.161652448444463,2008-11-25 21:14:30,0,-77.318075,-11.718303,7.40178652019455e-06
"P1108_6_SV_T2",0.24641465466043,0.0306193751704223,2008-11-25 21:14:45,0,-77.320267,-11.717883,5.82305137938407e-06
"P1108_6_SV_T2",0.214384804723123,0.0932489908892193,2008-11-25 21:15:00,0,-77.322498,-11.717525,7.90585017510706e-06
"P1108_6_SV_T2",0.222266854238611,0.0253489240772294,2008-11-25 21:15:15,0,-77.32446,-11.717393,6.353240713864e-06
"P1108_6_SV_T2",0.252770265332187,-0.367739908762781,2008-11-25 21:15:30,0,-77.326497,-11.717307,3.15669107931523e-05
"P1108_6_SV_T2",0.239006197515284,0.0962321591191698,2008-11-25 21:15:45,0,-77.328623,-11.716395,6.12862089710037e-06
"P1108_6_SV_T2",0.243044343660069,-0.0873595911354603,2008-11-25 21:16:00,0,-77.330708,-11.715727,6.81819954717713e-06
"P1108_6_SV_T2",0.250880816074989,0.463009524232507,2008-11-25 21:16:15,0,-77.33276,-11.714868,7.92905783465241e-05
"P1108_6_SV_T2",0.231328430227171,-0.283110745044069,2008-11-25 21:16:30,0,-77.335057,-11.715007,1.78235065249159e-05
"P1108_6_SV_T2",0.204726836971943,0.10426078193917,2008-11-25 21:16:45,0,-77.337127,-11.714547,1.26703240685453e-05
"P1108_6_SV_T2",0.229629172588784,0.206761439564716,2008-11-25 21:17:00,0,-77.338992,-11.71433,1.51292318816371e-05
"P1108_6_SV_T2",0.194213795467347,0.25832275041625,2008-11-25 21:17:15,0,-77.34109,-11.714515,4.61389155057028e-05
"P1108_6_SV_T2",0.209537263262535,-0.21412939760192,2008-11-25 21:17:30,0,-77.342765,-11.715113,2.05526312623531e-05
"P1108_6_SV_T2",0.212611440790881,-0.181838789515324,2008-11-25 21:17:45,0,-77.34467,-11.715365,1.36250673974351e-05
"P1108_6_SV_T2",0.219378547869739,0.0968324383083923,2008-11-25 21:18:00,0,-77.346618,-11.715272,7.89889365409927e-06
"P1108_6_SV_T2",0.219247764771449,-0.126710461018803,2008-11-25 21:18:15,0,-77.348628,-11.715368,8.45134384105159e-06
"P1108_6_SV_T2",0.207651663181611,-0.179190941227737,2008-11-25 21:18:30,0,-77.350633,-11.715213,1.35708521226228e-05
"P1108_6_SV_T2",0.232855726514744,0.124063631357974,2008-11-25 21:18:45,0,-77.352475,-11.714735,6.77108643088258e-06
"P1108_6_SV_T2",0.228681119318967,0.0233829456233341,2008-11-25 21:19:00,0,-77.354592,-11.714455,5.48082980995522e-06
"P1108_6_SV_T2",0.226079633820481,0.170738790260844,2008-11-25 21:19:15,0,-77.356677,-11.714228,8.06481462730755e-06
"P1108_6_SV_T2",0.228359622617437,-0.101411888121784,2008-11-25 21:19:30,0,-77.358747,-11.714352,8.2897758149723e-06
"P1108_6_SV_T2",0.196981477440906,0.106453067745796,2008-11-25 21:19:45,0,-77.36084,-11.714268,2.03879592924245e-05
"P1108_6_SV_T2",0.216991406678787,-0.027507847351921,2008-11-25 21:20:00,0,-77.362643,-11.714385,1.36344069597123e-05
"P1108_6_SV_T2",0.220278119882104,-0.162603172562524,2008-11-25 21:20:15,0,-77.364632,-11.71446,5.19789742120227e-05
"P1108_6_SV_T2",0.22155177130226,0.059405422709857,2008-11-25 21:20:30,0,-77.366637,-11.714213,0.000261445533859609
"P1108_6_SV_T2",0.173156677426476,0.247395318150129,2008-11-25 21:20:45,0,-77.368665,-11.714083,0.00101100715079621
"P1108_6_SV_T2",0.205377509818012,-0.363872077618958,2008-11-25 21:21:00,0,-77.370227,-11.714367,0.000520525868402735
"P1108_6_SV_T2",0.200084194145652,0.201335204102471,2008-11-25 21:21:15,0,-77.37208,-11.714032,0.000227956057106919
"P1108_6_SV_T2",0.209450007072764,0.0165457106242964,2008-11-25 21:21:30,0,-77.373915,-11.714068,0.000227704409309175
"P1108_6_SV_T2",0.209834085542285,-0.079692239726911,2008-11-25 21:21:45,0,-77.375835,-11.714137,0.000371163578825911
"P1108_6_SV_T2",0.194057789853864,0.0335511041013793,2008-11-25 21:22:00,0,-77.377758,-11.714055,0.000496228562886057
"P1108_6_SV_T2",0.18946675980771,0.182789265383824,2008-11-25 21:22:15,0,-77.379538,-11.714038,0.002106932854123
"P1108_6_SV_T2",0.196909774173924,0.0219499737718453,2008-11-25 21:22:30,0,-77.38125,-11.714333,0.033535816333354
"P1108_6_SV_T2",0.0548619385319659,0.110096131800403,2008-11-25 21:22:45,1,-77.383022,-11.714678,0.999999999999985
"P1108_6_SV_T2",0.151548653857192,0.231142432348477,2008-11-25 21:23:00,0,-77.383502,-11.714827,0.544608898228838
"P1108_6_SV_T2",0.189776570468166,-0.873121970656068,2008-11-25 21:23:15,0,-77.384697,-11.715527,0.509058471697423
"P1108_6_SV_T2",0.246117037214888,-0.316284607286474,2008-11-25 21:23:30,0,-77.38634,-11.71496,0.35959322768999
"P1108_6_SV_T2",0.163112636424501,0.462068072007103,2008-11-25 21:23:45,0,-77.388133,-11.713608,0.193182016216985
"P1108_6_SV_T2",0.238206464542975,0.48553117341257,2008-11-25 21:24:00,0,-77.389602,-11.713328,0.179010550063918
"P1108_6_SV_T2",0.241947358216776,-0.497032156714349,2008-11-25 21:24:15,0,-77.391693,-11.713953,0.14303382988979
"P1108_6_SV_T2",0.180128336715627,0.149713493987187,2008-11-25 21:24:30,0,-77.393867,-11.713513,0.00518511499188461
"P1108_6_SV_T2",0.187835994362634,0.049894271752171,2008-11-25 21:24:45,0,-77.395517,-11.713427,0.000506133505963214
"P1108_6_SV_T2",0.192200379939339,0.164803075708774,2008-11-25 21:25:00,0,-77.39724,-11.713422,0.00178724727095591
"P1108_6_SV_T2",0.190228223921655,-0.220042507957432,2008-11-25 21:25:15,0,-77.39898,-11.713702,0.0397521516861227
"P1108_6_SV_T2",0.0617591448526514,0.73115815712777,2008-11-25 21:25:30,0,-77.400722,-11.713602,0.999999999999148
"P1108_6_SV_T2",0.193177409995726,-0.675837218801243,2008-11-25 21:25:45,0,-77.401165,-11.71395,0.396374601580211
"P1108_6_SV_T2",0.191045298138199,0.0741435958772296,2008-11-25 21:26:00,0,-77.402937,-11.713945,0.0157149389646274
"P1108_6_SV_T2",0.195292365561002,-0.0316196666295786,2008-11-25 21:26:15,0,-77.404685,-11.714068,0.0010066868813424
"P1108_6_SV_T2",0.207296382261066,0.0212111529816692,2008-11-25 21:26:30,0,-77.406475,-11.714138,0.000347645537324385
"P1108_6_SV_T2",0.213804775406504,-0.108489284686028,2008-11-25 21:26:45,0,-77.408373,-11.714252,0.000173133824731416
"P1108_6_SV_T2",0.202783329861105,0.114218815960631,2008-11-25 21:27:00,0,-77.410332,-11.71416,9.26427731644133e-05
"P1108_6_SV_T2",0.198989695315407,0.315053988576234,2008-11-25 21:27:15,0,-77.412188,-11.714282,0.000175172357711504
"P1108_6_SV_T2",0.200118643579861,-0.250828203331317,2008-11-25 21:27:30,0,-77.413882,-11.714952,0.000133713398290735
"P1108_6_SV_T2",0.219782596357647,-0.053238329493373,2008-11-25 21:27:45,0,-77.415702,-11.715188,3.6033900707073e-05
"P1108_6_SV_T2",0.2132207262147,0.0577132128898125,2008-11-25 21:28:00,0,-77.417712,-11.715342,1.26331945325008e-05
"P1108_6_SV_T2",0.227688912045159,-0.159109891588258,2008-11-25 21:28:15,0,-77.41965,-11.715602,8.67919997996064e-06
"P1108_6_SV_T2",0.227514002867405,-0.0297005330781321,2008-11-25 21:28:30,0,-77.421738,-11.715553,5.64162707451242e-06
"P1108_6_SV_T2",0.225226836362764,0.0510530901415741,2008-11-25 21:28:45,0,-77.423822,-11.715443,6.0892238334822e-06
"P1108_6_SV_T2",0.216040322322845,0.242332991405854,2008-11-25 21:29:00,0,-77.425888,-11.715438,1.40131750853595e-05
"P1108_6_SV_T2",0.228068867689532,-0.231146554859044,2008-11-25 21:29:15,0,-77.427813,-11.715902,1.07881670193809e-05
"P1108_6_SV_T2",0.227582288260946,0.0155750630360136,2008-11-25 21:29:30,0,-77.429905,-11.71592,5.85303924403716e-06
"P1108_6_SV_T2",0.222037615607544,0.280301010067714,2008-11-25 21:29:45,0,-77.431992,-11.71597,1.65493465951725e-05
"P1108_6_SV_T2",0.206438136168556,0.0804694160838162,2008-11-25 21:30:00,0,-77.433935,-11.716572,1.09864563610011e-05
"P1108_6_SV_T2",0.214099580398807,0.0365066285806542,2008-11-25 21:30:15,0,-77.43569,-11.717273,7.78462744537189e-06
"P1108_6_SV_T2",0.226616690131889,0.000907999101194092,2008-11-25 21:30:30,0,-77.437482,-11.718065,5.76232583722557e-06
"P1108_6_SV_T2",0.220921652999421,0.0215770099700012,2008-11-25 21:30:45,0,-77.439378,-11.718905,6.22725228218112e-06
"P1108_6_SV_T2",0.219019334808831,-0.119179239724952,2008-11-25 21:31:00,0,-77.441208,-11.719763,7.85270286665199e-06
"P1108_6_SV_T2",0.216574758724413,0.208220746162338,2008-11-25 21:31:15,0,-77.443112,-11.720395,1.16343142932714e-05
"P1108_6_SV_T2",0.22024038502384,-0.00689140459644662,2008-11-25 21:31:30,0,-77.444823,-11.72139,6.5093573112763e-06
"P1108_6_SV_T2",0.219118162709166,0.129646080444967,2008-11-25 21:31:45,0,-77.44657,-11.72239,8.12793867159783e-06
"P1108_6_SV_T2",0.223165835460905,-0.0553369831235583,2008-11-25 21:32:00,0,-77.448163,-11.723598,8.38633554414568e-06
"P1108_6_SV_T2",0.215898712005033,0.114073480902273,2008-11-25 21:32:15,0,-77.449852,-11.724738,2.14984645053366e-05
"P1108_6_SV_T2",0.215792682923842,-0.0713956305222681,2008-11-25 21:32:30,0,-77.451348,-11.726017,6.87897990530428e-05
"P1108_6_SV_T2",0.206693635549651,0.19010120775464,2008-11-25 21:32:45,0,-77.452932,-11.727187,0.000237987748136252
"P1108_6_SV_T2",0.209454323410877,-0.0205596408587398,2008-11-25 21:33:00,0,-77.454207,-11.72857,0.000430025935035701
"P1108_6_SV_T2",0.208715463437396,0.214635617527539,2008-11-25 21:33:15,0,-77.455528,-11.729945,0.00184795398196802
"P1108_6_SV_T2",0.179090224636924,0.659930989158855,2008-11-25 21:33:30,0,-77.456518,-11.73156,0.0137337643491663
"P1108_6_SV_T2",0.185327033577118,0.317535166830788,2008-11-25 21:33:45,0,-77.456327,-11.733168,0.00131023206039143
"P1108_6_SV_T2",0.208064956205133,-0.498540599025134,2008-11-25 21:34:00,0,-77.455612,-11.734688,0.00205639952989111
"P1108_6_SV_T2",0.210080308774893,-0.00145997938135661,2008-11-25 21:34:15,0,-77.455735,-11.736565,0.000675897617079338
"P1108_6_SV_T2",0.203133756329894,0.286122522664265,2008-11-25 21:34:30,0,-77.455862,-11.73846,0.00154323825881154
"P1108_6_SV_T2",0.132497842209768,-0.0381830322326488,2008-11-25 21:34:45,0,-77.455455,-11.740252,0.0145433829895036
"P1108_6_SV_T2",0.155023967624041,-0.440090934581151,2008-11-25 21:35:00,0,-77.455235,-11.74143,0.00750605127687251
"P1108_6_SV_T2",0.173266632342204,0.768107479824951,2008-11-25 21:35:15,0,-77.455598,-11.742785,0.00936704544362919
