trip,datetime,lon,lat,gaps,dive,step_speed,step_direction,lon_std,lat_std,step_speed_std,step_direction_cos,step_direction_sin,prediction
P1109_15_LB_T4,2009-12-03 19:31:28,-77.2671325,-11.7752325,0.5,0,11.264264790666918,82.47606709247219,-0.2195257394492427,-3.191472951051182,0.5618745184824214,0.13094031530668626,0.9913902530423555,0.5
P1109_15_LB_T4,2009-12-03 19:31:58,-77.265896,-11.7699975,0.5,0,19.936513455377955,90.00886392028724,-0.11848601473583759,-2.731842650881006,1.0,-0.00015470459302936108,0.9999999880332444,0.5
P1109_15_LB_T4,2009-12-03 19:32:28,-77.26576800000001,-11.7648445,0.5,0,19.125398205060737,-11.626769342852526,-0.10802658508585411,-2.2794119084211473,0.9590221321653807,0.9794811964346991,-0.20153556964181357,0.5
P1109_15_LB_T4,2009-12-03 19:32:58,-77.266649,-11.75982,0.5,0,18.915637938075985,-11.133539855283743,-0.1800168782289472,-1.838263399690297,0.9484249593294687,0.9811797971854497,-0.193096363495328,0.5
P1109_15_LB_T4,2009-12-03 19:33:28,-77.268986,-11.755989,0.5,0,16.55663965053567,-21.106392401731,-0.370983183650763,-1.5019035754396288,0.8292474195025267,0.9329133647305725,-0.3601008940659295,0.5
P1109_15_LB_T4,2009-12-03 19:33:58,-77.27107149999999,-11.7535875,0.5,0,11.695742574172126,-9.524635667722748,-0.5413983440941847,-1.2910531139575538,0.5836729491975832,0.9862145442692821,-0.16547166727791277,0.5
P1109_15_LB_T4,2009-12-03 19:34:28,-77.2715975,-11.7497945,0.6,1,14.202707283920518,32.63970681243643,-0.5843800628162588,-0.9580296701092663,0.7103258120329788,0.8420788187082596,0.5393544874040653,0.5
P1109_15_LB_T4,2009-12-03 19:34:58,-77.274008,-11.7487506,0.8333333333333334,1,9.574948146483012,-58.40712270754938,-0.7813523688578273,-0.8663757884763834,0.47652956392865403,0.5238800197445436,-0.8517920667113874,0.5
P1109_15_LB_T4,2009-12-03 19:35:28,-77.2743955,-11.748609599999998,0.4666666666666667,1,1.501738687821603,-3.4731625247369493,-0.8130166578400546,-0.8539960611937678,0.06866778341245217,0.9981632842017885,-0.060581004213364306,0.5
P1109_15_LB_T4,2009-12-03 19:35:58,-77.274642,-11.748682,0.3333333333333333,0,0.9348819186065674,-37.087004342083105,-0.833159231347583,-0.8603527438553507,0.040029952030329136,0.7977207261455054,-0.6030270666212982,0.5
