datetime,trip,lon,lat,step_speed,step_direction,gaps,pressure,dive,lon_std,lat_std,step_speed_std,step_direction_cos,step_direction_sin,prediction
2015-10-01 04:32:29,F0915_14_SS_T1,-32.391889500000005,-3.8173114999999997,6.6150900072738805,22.6014447021808,0.0,-0.38,0,-2.9367603463437733,-2.4034056086892646,0.335149565006473,0.9232005268860448,0.3843186011076346,0.0319634703196347
2015-10-01 04:32:44,F0915_14_SS_T1,-32.3910195,-3.816898,7.13529540128869,20.0471189315322,0.0,-0.38,0,-2.929835389945072,-2.3997255277410994,0.36150545907992854,0.9394110323611667,0.34279281246567445,0.0365296803652968
2015-10-01 04:32:59,F0915_14_SS_T1,-32.38995,-3.8167269999999998,8.01999148172071,16.3666602946084,0.0,-0.38,0,-2.9213224694067295,-2.3982036562969924,0.40632805502249153,0.9594781031235682,0.28178319613915853,0.045662100456621
2015-10-01 04:33:14,F0915_14_SS_T1,-32.38900275,-3.81663925,7.04394619432786,3.7995826604692797,0.0,-0.38,0,-2.9137826246382295,-2.39742269595068,0.35687730633477405,0.9978019510012849,0.06626663246332493,0.0502283105022831
2015-10-01 04:33:29,F0915_14_SS_T1,-32.388076500000004,-3.816464,6.980506219764281,-5.43291364836864,0.0,-0.38,0,-2.9064099339896705,-2.395863000216296,0.35366315809860105,0.9955077396761975,-0.09468019985608446,0.0547945205479452
2015-10-01 04:33:44,F0915_14_SS_T1,-32.387291499999996,-3.81604825,6.58048733765054,-17.2219447665599,0.0,-0.38,0,-2.900161553790826,-2.3921628946438656,0.3333964415176659,0.9551650333816144,-0.2960739080113266,0.0547945205479452
2015-10-01 04:33:59,F0915_14_SS_T1,-32.386768,-3.815239,7.14761921016959,-29.200199894017402,0.0,-0.38,0,-2.8959946403716375,-2.3849607047833925,0.3621298374604366,0.8729203752154453,-0.4878627045939524,0.0547945205479452
2015-10-01 04:34:14,F0915_14_SS_T1,-32.3861275,-3.81465925,6.40315933394384,14.94619308405,0.0,-0.38,0,-2.8908964397126624,-2.3798010265979013,0.32441222463771163,0.9661684593123573,0.25791182258668527,0.0593607305936073
2015-10-01 04:34:29,F0915_14_SS_T1,-32.385401619047606,-3.8142850476190495,6.04967017289312,14.8895740310488,0.0,-0.38,0,-2.8851186305793917,-2.376470687896824,0.30650290844845623,0.9664228531295838,0.256956939872958,0.0547945205479452
2015-10-01 04:34:44,F0915_14_SS_T1,-32.384551263157896,-3.81402578947368,6.5837373566414,10.332576010852598,0.0,-0.38,0,-2.8783500357982628,-2.3741633336974743,0.33356110177925746,0.983783219368783,0.17936158253202694,0.0547945205479452
2015-10-01 04:34:59,F0915_14_SS_T1,-32.383476,-3.8138,8.13606422829057,5.1064493916553,0.0,-0.38,0,-2.869791242136777,-2.372153845087106,0.41220881106348556,0.9960310528813149,0.08900641379214894,0.0547945205479452
2015-10-01 04:35:14,F0915_14_SS_T1,-32.38265775,-3.81357125,6.29195359113557,-3.7672953671188303,0.0,-0.38,0,-2.8632782012480296,-2.370118008286878,0.3187780524212443,0.9978391351157537,-0.06570434103957301,0.0502283105022831
2015-10-01 04:35:29,F0915_14_SS_T1,-32.382099761904804,-3.81265976190476,7.92599388107206,-42.9308597050225,0.0,-0.38,0,-2.8588367722478036,-2.3620059164518747,0.4015657230006435,0.7321761539375495,-0.6811153203424644,0.0502283105022831
2015-10-01 04:35:44,F0915_14_SS_T1,-32.3816133684211,-3.811469,9.54216852467281,-9.24304374638859,0.0,-0.38,0,-2.8549652163084427,-2.3514083343490646,0.48344824133095793,0.9870158749650856,-0.16062273365531574,0.0502283105022831
2015-10-01 04:35:59,F0915_14_SS_T1,-32.380966,-3.8104489999999998,8.959345614811971,10.170647356441199,0.0,-0.38,0,-2.8498123449406565,-2.3423305046824776,0.4539198683986348,0.9842861993744687,0.17658051342366107,0.0502283105022831
2015-10-01 04:36:14,F0915_14_SS_T1,-32.3802631428571,-3.809504,8.73280259341621,4.234949778091529,0.0,-0.38,0,-2.844217798884281,-2.3339201624913812,0.44244220218509056,0.9972696172110542,0.0738465340264343,0.045662100456621
2015-10-01 04:36:29,F0915_14_SS_T1,-32.3795527,-3.808793,7.450528456778951,8.3343228036734,0.0,-0.38,0,-2.838562872666822,-2.327592381223794,0.37747655264132385,0.9894391355304414,0.144948946463135,0.045662100456621
2015-10-01 04:36:44,F0915_14_SS_T1,-32.378792842105305,-3.80832178947368,6.6244118910657095,13.2247672416607,0.0,-0.38,0,-2.8325146165864563,-2.3233986862286624,0.3356218526540239,0.9734801027051868,0.22877169763128227,0.045662100456621
2015-10-01 04:36:59,F0915_14_SS_T1,-32.377911,-3.8080809999999996,6.76962243507886,16.5563606581224,0.0,-0.38,0,-2.825495400345361,-2.321255700123195,0.3429788577147028,0.9585398910792965,0.2849583780303546,0.045662100456621
2015-10-01 04:37:14,F0915_14_SS_T1,-32.37684075,-3.80761075,8.6589197437641,-8.4618569591396,0.0,-0.38,0,-2.8169765100170348,-2.317070553651912,0.4386989719501103,0.9891140441210271,-0.14715096915259143,0.045662100456621
2015-10-01 04:37:29,F0915_14_SS_T1,-32.3756865,-3.8071464999999995,9.214815473871711,1.81224864409893,0.0,-0.38,0,-2.8077890032088297,-2.3129388061786633,0.46686309548125793,0.9994998225603363,0.03162443204005746,0.045662100456621
2015-10-01 04:37:44,F0915_14_SS_T1,-32.374438,-3.80665325,9.942727818944599,0.3533342962331,0.0,-0.38,0,-2.797851292790742,-2.308548963548235,0.5037423375695387,0.9999809850603525,0.006166807742028283,0.0410958904109589
