model,FP,TP
network_timeseries,1.0,1.0
network_timeseries,1.0,1.0
network_timeseries,1.0,1.0
network_timeseries,1.0,1.0
network_timeseries,1.0,1.0
network_timeseries,1.0,1.0
network_timeseries,1.0,1.0
network_timeseries,0.999680817108203,1.0
network_timeseries,0.9995212256623045,1.0
network_timeseries,0.999361634216406,1.0
network_timeseries,0.9992020427705075,1.0
network_timeseries,0.999042451324609,1.0
network_timeseries,0.999042451324609,1.0
network_timeseries,0.9988828598787105,1.0
network_timeseries,0.9988828598787105,1.0
network_timeseries,0.998723268432812,1.0
network_timeseries,0.9985636769869135,1.0
network_timeseries,0.9985636769869135,1.0
network_timeseries,0.9985636769869135,1.0
network_timeseries,0.9985636769869135,1.0
network_timeseries,0.9982444940951165,1.0
network_timeseries,0.9982444940951165,1.0
network_timeseries,0.9982444940951165,1.0
network_timeseries,0.9982444940951165,1.0
network_timeseries,0.998084902649218,1.0
network_timeseries,0.9979253112033195,1.0
network_timeseries,0.9979253112033195,1.0
network_timeseries,0.997765719757421,1.0
network_timeseries,0.997765719757421,1.0
network_timeseries,0.997765719757421,1.0
network_timeseries,0.9976061283115225,1.0
network_timeseries,0.997446536865624,1.0
network_timeseries,0.9972869454197255,1.0
network_timeseries,0.9972869454197255,1.0
network_timeseries,0.997127353973827,1.0
network_timeseries,0.99680817108203,1.0
network_timeseries,0.995531439514842,1.0
network_timeseries,0.9934567507181615,1.0
network_timeseries,0.990743696137887,1.0
network_timeseries,0.988828598787105,1.0
network_timeseries,0.984360038301947,1.0
network_timeseries,0.9803702521544845,1.0
network_timeseries,0.974784551548037,1.0
network_timeseries,0.9647302904564315,1.0
network_timeseries,0.9458984998404085,1.0
network_timeseries,0.9111075646345356,1.0
network_timeseries,0.8126396425151612,1.0
network_timeseries,0.7143313118416853,1.0
network_timeseries,0.6423555697414619,1.0
network_timeseries,0.6270347909352059,1.0
network_timeseries,0.6121927864666454,1.0
network_timeseries,0.6021385253750399,1.0
network_timeseries,0.5939993616342164,1.0
network_timeseries,0.5861793807851899,1.0
network_timeseries,0.5793169486115545,1.0
network_timeseries,0.5740504308969039,1.0
network_timeseries,0.5679859559527609,1.0
network_timeseries,0.5631982125758059,1.0
network_timeseries,0.560325566549633,1.0
network_timeseries,0.555857006064475,1.0
network_timeseries,0.552345994254708,1.0
network_timeseries,0.5489945738908395,1.0
network_timeseries,0.5451643791892754,1.0
network_timeseries,0.5414937759336099,1.0
network_timeseries,0.5384615384615384,1.0
network_timeseries,0.536386849664858,1.0
network_timeseries,0.532556654963294,1.0
network_timeseries,0.531279923396106,1.0
network_timeseries,0.528088094478136,1.0
network_timeseries,0.5253750398978615,1.0
network_timeseries,0.523300351101181,1.0
network_timeseries,0.520746887966805,1.0
network_timeseries,0.5170762847111395,1.0
network_timeseries,0.5150015959144589,1.0
network_timeseries,0.5129269071177784,1.0
network_timeseries,0.5106926268751995,1.0
network_timeseries,0.508617938078519,1.0
network_timeseries,0.506702840727737,1.0
network_timeseries,0.504787743376955,1.0
network_timeseries,0.5014363230130865,1.0
network_timeseries,0.499361634216406,1.0
network_timeseries,0.497446536865624,1.0
network_timeseries,0.4944142993935525,1.0
network_timeseries,0.49233961059687203,1.0
network_timeseries,0.48978614746249605,1.0
network_timeseries,0.48866900734120655,1.0
network_timeseries,0.48755186721991706,1.0
network_timeseries,0.48579636131503356,1.0
network_timeseries,0.4835620810724546,1.0
network_timeseries,0.4805298436003831,1.0
network_timeseries,0.4789339291413981,1.0
network_timeseries,0.4762208745611235,1.0
network_timeseries,0.4743057772103415,1.0
network_timeseries,0.4720714969677625,1.0
network_timeseries,0.470315991062879,1.0
network_timeseries,0.46856048515799553,1.0
network_timeseries,0.46600702202361954,1.0
network_timeseries,0.46153846153846156,1.0
network_timeseries,0.45946377274178096,1.0
network_timeseries,0.45770826683689747,1.0
network_timeseries,0.45531439514842,1.0
network_timeseries,0.4532397063517395,1.0
network_timeseries,0.4503670603255665,1.0
network_timeseries,0.447015639961698,1.0
network_timeseries,0.44318544526013404,1.0
network_timeseries,0.44142993935525054,1.0
network_timeseries,0.43903606766677306,1.0
network_timeseries,0.43648260453239707,1.0
network_timeseries,0.4350462815193106,1.0
network_timeseries,0.4323332269390361,1.0
network_timeseries,0.4285030322374721,1.0
network_timeseries,0.4262687519948931,1.0
network_timeseries,0.42307692307692313,1.0
network_timeseries,0.41876795403766365,1.0
network_timeseries,0.41749122247047565,1.0
network_timeseries,0.41445898499840417,1.0
network_timeseries,0.41286307053941906,1.0
network_timeseries,0.4096712416214491,1.0
network_timeseries,0.4083945100542611,1.0
network_timeseries,0.4056814554739866,1.0
network_timeseries,0.4018512607724226,1.0
network_timeseries,0.39865943185445263,1.0
network_timeseries,0.39610596872007653,1.0
network_timeseries,0.39419087136929454,1.0
network_timeseries,0.39163740823491855,1.0
network_timeseries,0.38956271943823806,1.0
network_timeseries,0.38796680497925307,0.9966442953020134
network_timeseries,0.3849345675071816,0.9932885906040269
network_timeseries,0.3825406958187041,0.9932885906040269
network_timeseries,0.3803064155761251,0.9932885906040269
network_timeseries,0.3780721353335461,0.9932885906040269
network_timeseries,0.3759974465368656,0.9932885906040269
network_timeseries,0.37360357484838813,0.9932885906040269
network_timeseries,0.37089052026811364,0.9932885906040269
network_timeseries,0.36833705713373766,0.9932885906040269
network_timeseries,0.3640280880944782,0.9899328859060402
network_timeseries,0.3598787105011172,0.9899328859060402
network_timeseries,0.3563676986913502,0.9899328859060402
network_timeseries,0.3528566868815832,0.9899328859060402
network_timeseries,0.34583466326204915,0.9899328859060402
network_timeseries,0.34088732843919567,0.9865771812080537
network_timeseries,0.3343440791573571,0.9865771812080537
network_timeseries,0.3273220555378231,0.9697986577181208
network_timeseries,0.31774656878391316,0.9664429530201343
network_timeseries,0.3086498563676987,0.959731543624161
network_timeseries,0.30114905841046924,0.9496644295302014
network_timeseries,0.2934886690073413,0.9463087248322147
network_timeseries,0.2863070539419087,0.9362416107382551
network_timeseries,0.27561442706670924,0.9295302013422819
network_timeseries,0.2641238429620172,0.9026845637583892
network_timeseries,0.25055857006064475,0.8926174496644296
network_timeseries,0.2400255346313438,0.8557046979865772
network_timeseries,0.22454516437918925,0.8053691275167785
network_timeseries,0.20810724545164383,0.7516778523489933
network_timeseries,0.1872007660389403,0.6845637583892618
network_timeseries,0.1661346951803383,0.6174496644295302
network_timeseries,0.1409192467283753,0.5268456375838926
network_timeseries,0.11362910947973193,0.43288590604026844
