"model","FP","TP"
"1","hmm",1,1
"2","hmm",0.459808612440191,0.946488294314381
"3","hmm",0.34688995215311,0.903010033444816
"4","hmm",0.269537480063796,0.862876254180602
"5","hmm",0.223923444976077,0.832775919732441
"6","hmm",0.183891547049442,0.79933110367893
"7","hmm",0.156459330143541,0.74247491638796
"8","hmm",0.138118022328549,0.705685618729097
"9","hmm",0.1207336523126,0.652173913043478
"10","hmm",0.105422647527911,0.595317725752508
"11","hmm",0.0936204146730463,0.565217391304348
"12","hmm",0.0808612440191387,0.528428093645485
"13","hmm",0.071451355661882,0.501672240802676
"14","hmm",0.0626794258373206,0.448160535117057
"15","hmm",0.0534290271132376,0.404682274247492
"16","hmm",0.0470494417862839,0.367892976588629
"17","hmm",0.041786283891547,0.341137123745819
"18","hmm",0.0355661881977671,0.290969899665552
"19","hmm",0.0314194577352472,0.240802675585284
"20","hmm",0.0258373205741627,0.180602006688963
"21","hmm",0,0
