datetime,trip,lon,lat,step_speed,step_direction,gaps,pressure,dive
2015-10-03 05:56:26,F0915_23_SS_T1,-32.3702307142857,-3.795114,0.180319011522514,-63.0834482435481,0.203174603174603,0.93,0
2015-10-03 05:56:41,F0915_23_SS_T1,-32.3703121428571,-3.79507275,0.676196309431933,-2.67383927621267E-06,0,0.93,0
2015-10-03 05:56:56,F0915_23_SS_T1,-32.370361,-3.795048,0.405717797945111,1.95058362351119E-07,0,0.93,0
2015-10-03 05:57:11,F0915_23_SS_T1,-32.370361,-3.795048,0,63.083450722329,0,0.93,0
2015-10-03 05:57:26,F0915_23_SS_T1,-32.370361,-3.795048,0,0,0,0.93,0
2015-10-03 05:57:41,F0915_23_SS_T1,-32.370361,-3.795048,0,0,0,0.93,0
2015-10-03 05:57:56,F0915_23_SS_T1,-32.3704068571429,-3.79503057142857,0.36334907890288,-69.1482876545124,0,0.93,0
2015-10-03 05:58:11,F0915_23_SS_T1,-32.3706361428571,-3.79494342857143,1.81674549024805,-7.21743083431647E-06,0,0.93,0
2015-10-03 05:58:26,F0915_23_SS_T1,-32.370682,-3.794926,0.363349117267552,4.91627423571117E-06,0,0.93,0
2015-10-03 05:58:41,F0915_23_SS_T1,-32.370682,-3.794926,0,69.148289955669,0,0.93,0
2015-10-03 05:58:56,F0915_23_SS_T1,-32.370682,-3.794926,0,0,0,0.93,0
2015-10-03 05:59:11,F0915_23_SS_T1,-32.370682,-3.794926,0,0,0,0.99,0
2015-10-03 05:59:26,F0915_23_SS_T1,-32.3706228571429,-3.79469028571429,1.80317984334264,14.0556011404447,0,0.93,0
2015-10-03 05:59:41,F0915_23_SS_T1,-32.3704231428571,-3.79424071428571,3.64924558199507,9.85014168668953,0,0.99,0
2015-10-03 05:59:56,F0915_23_SS_T1,-32.3698188571429,-3.79356428571429,6.72441918351789,17.8077582526263,0,0.93,0
2015-10-03 06:00:11,F0915_23_SS_T1,-32.3690866,-3.7926958,8.42229313887216,-1.63972816179125,0,0.93,0
2015-10-03 06:00:26,F0915_23_SS_T1,-32.3684463333333,-3.79168633333333,8.86522983344025,-7.74511231655879,0,0.93,0
2015-10-03 06:00:41,F0915_23_SS_T1,-32.3679258636364,-3.79058686363636,9.02335862801542,-7.04509515314265,0,0.93,0
2015-10-03 06:00:56,F0915_23_SS_T1,-32.3670988181818,-3.78971481818182,8.90955633563453,18.1367177268484,0,0.93,0
2015-10-03 06:01:11,F0915_23_SS_T1,-32.3661058571429,-3.78913928571429,8.50292268427061,16.4282026278485,0,0.93,0
2015-10-03 06:01:26,F0915_23_SS_T1,-32.36500325,-3.7887749,8.60050630170364,11.8266594519004,0,0.93,0
2015-10-03 06:01:41,F0915_23_SS_T1,-32.3639045,-3.7884644,8.45580007141479,2.51209086884512,0,0.93,0
2015-10-03 06:01:56,F0915_23_SS_T1,-32.3629395909091,-3.78822031818182,7.37078873926766,1.58730712996882,0,0.87,0
2015-10-03 06:02:11,F0915_23_SS_T1,-32.3620364285714,-3.78813657142857,6.71637693931973,8.91628517838402,0,0.87,0
2015-10-03 06:02:26,F0915_23_SS_T1,-32.361195,-3.788278,6.3182251002337,14.8708831065096,0,0.87,0
2015-10-03 06:02:41,F0915_23_SS_T1,-32.36041,-3.78873585714286,6.73280714925668,20.7460892448942,0,0.87,0
2015-10-03 06:02:56,F0915_23_SS_T1,-32.3594885,-3.789342,8.17255527496455,3.08587680766736,0,0.87,0
2015-10-03 06:03:11,F0915_23_SS_T1,-32.3585591428571,-3.79001347619048,8.49614976425819,2.51465680048395,0,0.87,0
2015-10-03 06:03:26,F0915_23_SS_T1,-32.3578584285714,-3.79059276190476,6.73795376064654,3.73410588859421,0,0.87,0
2015-10-03 06:03:41,F0915_23_SS_T1,-32.3573348181818,-3.79112736363636,5.54712423408934,6.01540469673432,0,0.87,0
2015-10-03 06:03:56,F0915_23_SS_T1,-32.356905,-3.79179171428571,5.86807108278833,11.4975457046616,0,0.87,0
2015-10-03 06:04:11,F0915_23_SS_T1,-32.356575,-3.792661,6.89809651824572,12.098392566839,0,0.87,0
2015-10-03 06:04:26,F0915_23_SS_T1,-32.3565314285714,-3.79312957142857,3.49212005922038,15.4452560846373,0,0.87,0
2015-10-03 06:04:41,F0915_23_SS_T1,-32.3565384285714,-3.79331314285714,1.3632364566982,7.47994265792167,0,0.87,0
2015-10-03 06:04:56,F0915_23_SS_T1,-32.356571,-3.793308,0.244178125716397,96.81302239567,0,0.87,0
2015-10-03 06:05:11,F0915_23_SS_T1,-32.356571,-3.793308,0,81.0079956133237,0,0.87,0
2015-10-03 06:05:26,F0915_23_SS_T1,-32.356571,-3.793308,0,0,0,0.93,0
2015-10-03 06:05:41,F0915_23_SS_T1,-32.356571,-3.793308,0,0,0,0.93,0
2015-10-03 06:05:56,F0915_23_SS_T1,-32.356571,-3.793308,0,0,0,0.93,0
2015-10-03 06:06:11,F0915_23_SS_T1,-32.356571,-3.793308,0,0,0,0.93,0
2015-10-03 06:06:26,F0915_23_SS_T1,-32.356641952381,-3.793288,0.54593275293223,-74.2251178662745,0,0.93,0
2015-10-03 06:06:41,F0915_23_SS_T1,-32.3565598181818,-3.79333145454545,0.688370594320879,-167.841036183581,0,0.93,0
2015-10-03 06:06:56,F0915_23_SS_T1,-32.3559591363636,-3.79357690909091,4.80630511851831,-5.66355795197904,0,0.93,0
2015-10-03 06:07:11,F0915_23_SS_T1,-32.3551915714286,-3.79385,6.03397828754402,-2.64555258529521,0,0.93,0
